deal_website_name,cancellation_year,grid_name,grid
HU Berlin,2017,Humboldt University of Berlin,grid.7468.d
TU Berlin,2017,Technical University of Berlin,grid.6734.6
Uni Bochum,2017,Ruhr University Bochum,grid.5570.7
Uni Bremen,2017,University of Bremen,grid.7704.4
TU Darmstadt,2017,Technical University of Darmstadt,grid.6546.1
Uni Frankfurt a.M.,2017,Goethe University Frankfurt,grid.7839.5
Uni Freiburg,2017,University of Freiburg,grid.5963.9
Uni Giessen,2017,University of Giessen,grid.8664.c
Universitaetsklinikum Hamburg-Eppendorf,2017,University Medical Center Hamburg-Eppendorf,grid.13648.38
Uni Heidelberg,2017,Heidelberg University,grid.7700.0
Uni Hohenheim,2017,University of Hohenheim,grid.9464.f
TU Kaiserslautern,2017,University of Kaiserslautern,grid.7645.0
KIT Karlsruhe,2017,Karlsruhe Institute of Technology,grid.7892.4
Uni Kassel,2017,University of Kassel,grid.5155.4
Uni Kiel,2017,Kiel University,grid.9764.c
Uni Konstanz,2017,University of Konstanz,grid.9811.1
Uni Magdeburg,2017,Otto-von-Guericke University Magdeburg,grid.5807.a
Uni Mainz,2017,Johannes Gutenberg University of Mainz,grid.5802.f
Uni Mannheim,2017,University of Mannheim,grid.5601.2
Uni Marburg,2017,Philipp University of Marburg,grid.10253.35
Uni Oldenburg,2017,Carl von Ossietzky University of Oldenburg,grid.5560.6
Uni Potsdam,2017,University of Potsdam,grid.11348.3f
Uni des Saarlandes,2017,Saarland University,grid.11749.3a
Uni Stuttgart,2017,University of Stuttgart,grid.5719.a
Uni Trier,2017,University of Trier,grid.12391.38
Uni Tuebingen,2017,University of Tuebingen,grid.10392.39
Uni Ulm,2017,University of Ulm,grid.6582.9
HS Aalen,2017,Hochschule Aalen,grid.440920.b
HS Albstadt-Sigmaringen,2017,Albstadt-Sigmaringen University,grid.460102.1
Ostbayerische TH Amberg-Weiden,2017,Ostbayerische Technische Hochschule Amberg Weiden,grid.462281.b
HaW Augsburg,2017,Augsburg University of Applied Sciences,grid.440970.e
HS Biberach a.d.R.,2017,University of Applied Sciences Biberach,grid.440922.9
FH Bielefeld,2017,Fachhochschule Bielefeld,grid.434083.8
HS Gesundheit Bochum,2017,hsg Bochum - University of Applied Sciences,grid.466372.2
HS Bremen,2017,Bremen University of Applied Sciences,grid.424704.1
HS fuer Kuenste Bremen,2017,University of the Arts Bremen,grid.449701.f
HS Bremerhaven,2017,Hochschule Bremerhaven,grid.461640.1
HaW Coburg,2017,Coburg University of Applied Sciences,grid.461647.6
TH Deggendorf,2017,Deggendorf Institute of Technology,grid.449751.a
HS Esslingen,2017,Esslingen University of Applied Sciences,grid.448696.1
PH Freiburg,2017,University of Education Freiburg,grid.461778.b
HS Fulda,2017,Fulda University of Applied Sciences,grid.430588.2
HS Furtwangen,2017,Furtwangen University,grid.21051.37
THM Gießen,2017,Technische Hochschule Mittelhessen,grid.440967.8
HaW Hamburg,2017,Hamburg University of Applied Sciences,grid.11500.35
HS Hamm-Lippstadt,2017,Hamm-Lippstadt University of Applied Sciences,grid.461668.b
PH Heidelberg,2017,Heidelberg University of Education,grid.461780.c
DHBW Heidenheim,2017,Baden-Wuerttemberg Cooperative State University,grid.449295.7
DHBW Center for Advanced Studies Heilbronn,2017,Baden-Wuerttemberg Cooperative State University,grid.449295.7
DHBW Heilbronn,2017,Baden-Wuerttemberg Cooperative State University,grid.449295.7
HS Heilbronn,2017,Heilbronn University,grid.461673.1
TH Ingolstadt,2017,Technische Hochschule Ingolstadt,grid.454235.1
DHBW Karlsruhe,2017,Baden-Wuerttemberg Cooperative State University,grid.449295.7
HS Karlsruhe,2017,Karlsruhe University of Applied Sciences,grid.434954.b
PH Karlsruhe,2017,Karlsruhe University of Education,grid.461786.a
HS Kehl,2017,Kehl University of Applied Sciences,grid.454321.5
FH Kiel,2017,Fachhochschule Kiel,grid.440947.a
HTWG Konstanz,2017,Hochschule Konstanz University of Applied Sciences,grid.454352.1
HaW Landshut,2017,University of Applied Sciences Landshut,grid.449759.2
DHBW Loerrach,2017,Baden-Wuerttemberg Cooperative State University,grid.449295.7
HS Ludwigsburg,2017,University of Applied Sciences - Public Administration and Finance Ludwigsburg,grid.507514.2
DHBW Mannheim,2017,Baden-Wuerttemberg Cooperative State University,grid.449295.7
HS Mannheim,2017,Mannheim University of Applied Sciences,grid.440963.c
DHBW Mosbach,2017,Baden-Wuerttemberg Cooperative State University,grid.449295.7
HaW Muenchen,2017,Munich University of Applied Sciences,grid.434949.7
HS Neubrandenburg,2017,Neubrandenburg University of Applied Sciences,grid.461681.c
TH Nuernberg Georg Simon Ohm,2017,Georg Simon Ohm University of Applied Sciences Nuremberg,grid.454272.2
HS Nuertingen,2017,Nuertingen-Geislingen University of Applied Science,grid.449562.8
HS Offenburg,2017,Offenburg University of Applied Sciences,grid.440974.a
HS Pforzheim,2017,Pforzheim University of Applied Sciences,grid.449261.c
DHBW Ravensburg,2017,Baden-Wuerttemberg Cooperative State University,grid.449295.7
HS Ravensburg-Weingarten,2017,University of Applied Sciences Ravensburg-Weingarten,grid.449767.f
Ostbayerische TH Regensburg,2017,Regensburg University of Applied Sciences,grid.434958.7
HS Reutlingen,2017,Reutlingen University,grid.434088.3
HaW Rosenheim,2017,University of Applied Sciences Rosenheim,grid.449770.9
HS Rottenburg,2017,Rottenburg University of Applied Forest Sciences,grid.449500.c
HS Schwaebisch Gmuend,2017,University of Design Schwaebisch Gmuend,grid.466226.2
DHBW Stuttgart,2017,Baden-Wuerttemberg Cooperative State University,grid.449295.7
HdM Stuttgart,2017,Stuttgart Media University,grid.434945.b
HfT Stuttgart,2017,Stuttgart University of Applied Sciences,grid.434950.f
HS Ulm,2017,Hochschule Ulm,grid.434100.2
DHBW Villingen-Schwenningen,2017,Baden-Wuerttemberg Cooperative State University,grid.449295.7
HS Villingen-Schwenningen,2017,,
PH Weingarten,2017,University of Education Weingarten,grid.466241.3
HaW Wuerzburg-Schweinfurt,2017,University of Applied Sciences Wuerzburg-Schweinfurt,grid.449775.c
