deal_website_name,cancellation_year,grid_name,grid
,2018,Max Planck Institute of Biophysics,grid.419494.5
,2018,Max Planck Institute of Colloids and Interfaces,grid.419564.b
,2018,Max Planck Institute of Experimental Medicine,grid.419522.9
,2018,Max Planck Institute of Immunobiology and Epigenetics,grid.429509.3
,2018,Max Planck Institute of Microstructure Physics,grid.450270.4
,2018,Max Planck Institute of Molecular Cell Biology and Genetics,grid.419537.d
,2018,Max Planck Institute of Molecular Physiology,grid.418441.c
,2018,Max Planck Institute of Molecular Plant Physiology,grid.418390.7
,2018,Max Planck Institute of Neurobiology,grid.429510.b
,2018,Max Planck Institute of Psychiatry,grid.419548.5
,2018,Max Planck Institute of Quantum Optics,grid.450272.6
,2018,Max Planck Institutes Library,grid.494632.e
,2018,Max Planck Research Unit Neurogenetics,grid.470209.8
,2018,Max Planck Research Unit for Enzymology of Protein Folding,grid.462530.6
,2018,Max Planck Unit for Structural Molecular Biology,grid.469476.e
,2018,Max Planck Unit for the Science of Pathogens,grid.507437.2
,2018,Max Planck University of Twente Center for Complex Fluid Dynamics,grid.507518.e
,2018,Max Planck-Bristol Centre for Minimal Biology,grid.507517.1
,2018,Max-Planck-Institut für Zellbiologie,grid.500074.6
