article_pubyear,publisher,institution_name,n_items
2016,Non-Elsevier,Max Planck Institute for the Science of Human History,20
2012,Non-Elsevier,University of Bayreuth,302
2014,Elsevier,Technical University of Munich,576
2020,Elsevier,Ruhr University Bochum,298
2017,Elsevier,Clausthal University of Technology,38
2013,Non-Elsevier,Max Planck Institute of Biophysics,25
2016,Non-Elsevier,University of Regensburg,530
2020,Elsevier,University of Freiburg,282
2016,Elsevier,University of Greifswald,109
2013,Elsevier,Ilmenau University of Technology,42
2012,Elsevier,Leipzig University,260
2016,Elsevier,German Cancer Research Center,129
2019,Elsevier,Fraunhofer Institute for Cell Therapy and Immunology,8
2017,Elsevier,Helmut Schmidt University,31
2016,Non-Elsevier,FH Aachen,15
2016,Elsevier,Max Planck Institute for Iron Research,49
2018,Non-Elsevier,Esslingen University of Applied Sciences,13
2013,Non-Elsevier,Research Center Borstel - Leibniz-Center for Medicine and Biosciences,32
2013,Non-Elsevier,Helmholtz Zentrum München,249
2013,Non-Elsevier,University of Siegen,125
2015,Non-Elsevier,Centre For European Economic Research,16
2012,Elsevier,Max Planck Institute for Iron Research,38
2014,Elsevier,University of Augsburg,38
2015,Elsevier,University of Erlangen-Nuremberg,411
2020,Non-Elsevier,Fraunhofer Institute for Electronic Nano Systems,18
2020,Non-Elsevier,Leibniz Institute of Polymer Research,63
2012,Elsevier,University of Stuttgart,181
2017,Non-Elsevier,University of Hannover,498
2016,Non-Elsevier,Universität Hamburg,657
2019,Non-Elsevier,German Rheumatism Research Centre,48
2020,Non-Elsevier,Bundeswehr University Munich,104
2012,Non-Elsevier,Max Planck Institute for Biogeochemistry,25
2020,Non-Elsevier,Max Planck Institute for Solid State Research,139
2019,Non-Elsevier,Carl von Ossietzky University of Oldenburg,403
2014,Non-Elsevier,Max Planck Institute for Marine Microbiology,52
2017,Elsevier,University of Bonn,311
2017,Elsevier,German Aerospace Center,151
2018,Elsevier,Bundeswehr University Munich,18
2016,Non-Elsevier,University of Trier,95
2019,Elsevier,Social Science Research Center Berlin,9
2014,Non-Elsevier,Max Planck Institute for Evolutionary Anthropology,82
2019,Non-Elsevier,GEOMAR Helmholtz Centre for Ocean Research Kiel,137
2014,Non-Elsevier,Max Planck Institute for Iron Research,50
2016,Elsevier,Helmholtz Zentrum München,115
2012,Non-Elsevier,"Fraunhofer Institute for Communication, Information Processing and Ergonomics",4
2012,Elsevier,Goethe University Frankfurt,245
2016,Non-Elsevier,University of Rostock,373
2013,Non-Elsevier,German Rheumatism Research Centre,37
2019,Non-Elsevier,Max Planck Institute for Coal Research,76
2017,Non-Elsevier,Max Planck Institute for Gravitational Physics,36
2014,Non-Elsevier,Alfred Wegener Institute for Polar and Marine Research,159
2019,Non-Elsevier,Max Planck Institute for Marine Microbiology,40
2016,Non-Elsevier,Otto-von-Guericke University Magdeburg,381
2020,Non-Elsevier,Max Planck Institute for Chemistry,80
2018,Elsevier,Bernhard Nocht Institute for Tropical Medicine,10
2017,Non-Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,9
2017,Elsevier,University of Regensburg,113
2012,Elsevier,University of Tübingen,280
2017,Non-Elsevier,Max Planck Institute for Biophysical Chemistry,110
2012,Non-Elsevier,Max Planck Institute for Physics,60
2014,Non-Elsevier,Helmholtz Zentrum München,280
2012,Elsevier,University of Bayreuth,119
2013,Elsevier,University of Bayreuth,104
2018,Non-Elsevier,Max Planck Institute for Polymer Research,132
2016,Non-Elsevier,Max Planck Institute for Plasma Physics,49
2015,Elsevier,Clausthal University of Technology,55
2016,Non-Elsevier,Max Planck Institute for Medical Research,26
2018,Non-Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,122
2014,Non-Elsevier,Reutlingen University,10
2017,Non-Elsevier,Fraunhofer Institute for Solar Energy Systems,36
2015,Non-Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,135
2017,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,158
2016,Non-Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,167
2017,Non-Elsevier,German Sport University Cologne,114
2018,Elsevier,Alfred Wegener Institute for Polar and Marine Research,45
2019,Elsevier,University of Augsburg,56
2020,Non-Elsevier,Fraunhofer Institute for Chemical Technology,18
2013,Elsevier,Fraunhofer Institute for Industrial Mathematics,8
2015,Non-Elsevier,German Center for Neurodegenerative Diseases,166
2020,Non-Elsevier,Pforzheim University of Applied Sciences,20
2014,Elsevier,German Center for Neurodegenerative Diseases,53
2012,Non-Elsevier,TU Bergakademie Freiberg,118
2013,Non-Elsevier,Bundeswehr University Munich,43
2013,Non-Elsevier,Fraunhofer Institute for Biomedical Engineering,18
2013,Elsevier,University of Duisburg-Essen,203
2014,Elsevier,Leibniz Institute for Solid State and Materials Research,86
2020,Elsevier,University of Ulm,148
2015,Non-Elsevier,German Rheumatism Research Centre,52
2012,Non-Elsevier,Hamburg University of Applied Sciences,17
2020,Elsevier,Forschungszentrum Jülich,234
2014,Elsevier,University of Regensburg,123
2016,Non-Elsevier,Max Planck Institute of Quantum Optics,60
2016,Non-Elsevier,Federal Institute For Materials Research and Testing,131
2016,Elsevier,Max Planck Institute for Evolutionary Biology,9
2012,Non-Elsevier,Forschungszentrum Jülich,475
2014,Non-Elsevier,University of Rostock,327
2012,Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,68
2013,Non-Elsevier,Carl von Ossietzky University of Oldenburg,197
2019,Non-Elsevier,Fraunhofer Institute for Silicate Research,18
2013,Elsevier,Freie Universität Berlin,209
2020,Elsevier,Heidelberg University,317
2015,Elsevier,University of Freiburg,241
2012,Elsevier,Martin Luther University Halle-Wittenberg,145
2013,Elsevier,University of Kassel,66
2019,Elsevier,University of Würzburg,154
2018,Non-Elsevier,Max Planck Institute for Iron Research,72
2016,Non-Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,169
2016,Elsevier,Max Planck Institute for Biophysical Chemistry,37
2019,Non-Elsevier,Helmut Schmidt University,84
2012,Non-Elsevier,University of Siegen,93
2014,Elsevier,Max Planck Institute for Developmental Biology,25
2020,Elsevier,Fraunhofer Austria,6
2012,Elsevier,RWTH Aachen University,343
2020,Elsevier,Johannes Gutenberg University of Mainz,181
2019,Non-Elsevier,Social Science Research Center Berlin,38
2016,Non-Elsevier,TU Darmstadt,557
2016,Non-Elsevier,Max Planck Institute for Biological Cybernetics,43
2013,Elsevier,Universität Hamburg,147
2012,Non-Elsevier,University of Augsburg,156
2018,Non-Elsevier,Max Planck Institute of Quantum Optics,68
2019,Non-Elsevier,Chemnitz University of Technology,246
2020,Elsevier,Saarland University,152
2013,Non-Elsevier,University of Trier,97
2018,Elsevier,Max Planck Institute of Experimental Medicine,7
2014,Elsevier,Ilmenau University of Technology,47
2013,Elsevier,Technical University of Berlin,196
2014,Non-Elsevier,Kühne Logistics University,3
2015,Non-Elsevier,Hochschule Mittweida,8
2016,Elsevier,Munich University of Applied Sciences,7
2019,Elsevier,Kiel University,220
2018,Elsevier,University of Kaiserslautern,102
2014,Non-Elsevier,GEOMAR Helmholtz Centre for Ocean Research Kiel,99
2016,Non-Elsevier,Max Planck Institute for Dynamics of Complex Technical Systems,29
2016,Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,6
2019,Non-Elsevier,Fraunhofer Institute for Integrated Circuits,24
2016,Elsevier,Universität Hamburg,189
2013,Elsevier,University of Greifswald,123
2015,Elsevier,Leibniz Institute of Polymer Research,37
2014,Elsevier,Technical University of Berlin,237
2018,Elsevier,Charité - University Medicine Berlin,357
2019,Non-Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,20
2012,Elsevier,Fraunhofer Institute for Interfacial Engineering and Biotechnology,14
2019,Elsevier,Forschungszentrum Jülich,281
2020,Elsevier,Fraunhofer Institute for Industrial Mathematics,17
2015,Non-Elsevier,Leibniz Institute for Analytical Sciences - ISAS,14
2014,Elsevier,Fraunhofer Research Institution for Microsystems and Solid State Technologies,2
2015,Non-Elsevier,University of Bremen,404
2014,Elsevier,Forschungszentrum Jülich,252
2019,Non-Elsevier,Max Planck Institute for Biophysical Chemistry,112
2016,Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,79
2018,Non-Elsevier,Fraunhofer Institute for Interfacial Engineering and Biotechnology,27
2014,Elsevier,Max Delbrück Center for Molecular Medicine,47
2017,Elsevier,University of Konstanz,74
2012,Non-Elsevier,Fraunhofer Institute for Digital Medicine,15
2019,Non-Elsevier,University of Trier,139
2016,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",144
2016,Non-Elsevier,Ostbayerische Technische Hochschule Amberg Weiden,1
2014,Non-Elsevier,Kiel University,557
2012,Non-Elsevier,Johannes Gutenberg University of Mainz,647
2018,Elsevier,Freie Universität Berlin,238
2015,Non-Elsevier,Helmholtz Centre for Environmental Research,185
2013,Non-Elsevier,German Institute of Human Nutrition,54
2019,Elsevier,Hannover Medical School,174
2014,Non-Elsevier,Leibniz-Centre General Linguistics,5
2013,Non-Elsevier,FH Aachen,13
2020,Non-Elsevier,Max Planck Institute for Gravitational Physics,57
2017,Elsevier,University of Mannheim,45
2014,Non-Elsevier,Max Planck Institute for Chemical Physics of Solids,85
2014,Elsevier,Fraunhofer Institute for Production Technology,11
2016,Elsevier,University of Freiburg,280
2014,Non-Elsevier,Museum für Naturkunde,36
2019,Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,80
2019,Non-Elsevier,Max Planck Institute for Nuclear Physics,100
2012,Non-Elsevier,Stuttgart Media University,2
2020,Elsevier,Bielefeld University,93
2020,Non-Elsevier,Max Planck Institute for Biogeochemistry,83
2017,Elsevier,Max Planck Institute for Developmental Biology,11
2016,Non-Elsevier,Max Planck Institute for Developmental Biology,64
2016,Elsevier,Max Planck Institute of Molecular Cell Biology and Genetics,22
2020,Non-Elsevier,Max Planck Institute for Human Development,76
2018,Elsevier,Hannover Medical School,182
2017,Non-Elsevier,Max Planck Society,84
2019,Non-Elsevier,Leibniz Center for Tropical Marine Ecology,29
2013,Non-Elsevier,University of Paderborn,133
2012,Elsevier,University of Augsburg,29
2018,Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,61
2013,Non-Elsevier,Max Planck Institute for the Science of Light,46
2020,Elsevier,Charité - University Medicine Berlin,395
2020,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",238
2018,Non-Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,44
2012,Elsevier,University of Regensburg,132
2019,Elsevier,University of Potsdam,123
2017,Elsevier,Alfred Wegener Institute for Polar and Marine Research,77
2020,Non-Elsevier,Karlsruhe University of Applied Sciences,32
2013,Non-Elsevier,University of Regensburg,516
2012,Elsevier,University of Lübeck,80
2015,Non-Elsevier,Max Planck Institute for Mathematics,27
2015,Non-Elsevier,Max Planck Institute for Chemical Ecology,78
2014,Elsevier,Universität Hamburg,151
2019,Non-Elsevier,Osnabrück University,212
2013,Elsevier,Leibniz Institute for Farm Animal Biology,21
2012,Non-Elsevier,Institut für Arbeitsmarkt und Berufsforschung,6
2013,Non-Elsevier,Martin Luther University Halle-Wittenberg,376
2015,Non-Elsevier,Max Planck Institute for Astrophysics,10
2012,Elsevier,Max Planck Institute of Molecular Plant Physiology,9
2013,Non-Elsevier,Max Planck Institute for Human Cognitive and Brain Sciences,108
2018,Non-Elsevier,German Aerospace Center,385
2020,Elsevier,Max Planck Institute for the Science of Human History,24
2013,Non-Elsevier,University of Kaiserslautern,256
2015,Elsevier,Heidelberg University,329
2018,Non-Elsevier,Max Planck Institute for Molecular Genetics,42
2018,Elsevier,Saarland University,183
2019,Elsevier,Universität Hamburg,161
2017,Non-Elsevier,Max Planck Institute for Physics,31
2014,Non-Elsevier,Bielefeld University,429
2017,Elsevier,Otto-von-Guericke University Magdeburg,181
2015,Non-Elsevier,Alfred Wegener Institute for Polar and Marine Research,147
2018,Elsevier,German Cancer Research Center,166
2016,Non-Elsevier,Max Planck Institute for Meteorology,61
2012,Elsevier,University Medical Center Hamburg-Eppendorf,189
2015,Non-Elsevier,Otto-von-Guericke University Magdeburg,421
2019,Elsevier,"Fraunhofer Research Institution for Casting, Composite and Processing Technology",23
2017,Elsevier,Technische Universität Braunschweig,201
2016,Non-Elsevier,Helmholtz Zentrum München,320
2020,Elsevier,University of Wuppertal,62
2014,Non-Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,20
2015,Elsevier,Fraunhofer Institute for Solar Energy Systems,61
2014,Elsevier,Helmholtz Centre for Environmental Research,108
2014,Elsevier,Max Planck Institute for Psycholinguistics,18
2020,Elsevier,University of Siegen,74
2020,Non-Elsevier,Max Planck Institute for Coal Research,66
2016,Non-Elsevier,Carl von Ossietzky University of Oldenburg,347
2017,Non-Elsevier,University of Augsburg,231
2015,Non-Elsevier,Saarland University,496
2018,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,132
2014,Non-Elsevier,Carl von Ossietzky University of Oldenburg,234
2020,Elsevier,University of Kaiserslautern,110
2012,Elsevier,Clausthal University of Technology,44
2012,Elsevier,Max Planck Institute of Molecular Cell Biology and Genetics,24
2020,Non-Elsevier,Leibniz Institute for Tropospheric Research,52
2013,Non-Elsevier,Humboldt University of Berlin,547
2013,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,140
2017,Elsevier,Universität Hamburg,174
2012,Non-Elsevier,Julius Kühn-Institut,31
2019,Elsevier,TU Darmstadt,231
2015,Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,87
2013,Non-Elsevier,Max Planck Institute for Molecular Genetics,73
2017,Non-Elsevier,Max Planck Institute for the Study of Societies,10
2015,Non-Elsevier,Max Planck Institute of Psychiatry,60
2019,Non-Elsevier,Munich University of Applied Sciences,45
2019,Non-Elsevier,Max Planck Institute for Meteorology,60
2020,Elsevier,Max Planck Institute for Human Development,15
2013,Non-Elsevier,Fraunhofer Institute for Laser Technology,10
2017,Non-Elsevier,Max Planck Institute for Intelligent Systems,79
2014,Non-Elsevier,Neubrandenburg University of Applied Sciences,4
2016,Non-Elsevier,Helmut Schmidt University,54
2016,Elsevier,TU Dresden,460
2020,Elsevier,Max Planck Institute for Mathematics in the Sciences,11
2012,Elsevier,TU Darmstadt,180
2019,Elsevier,University of Stuttgart,245
2014,Elsevier,University of Mannheim,45
2013,Non-Elsevier,Institute of Plant Genetics and Crop Plant Research,81
2013,Non-Elsevier,Max Planck Institute for Intelligent Systems,89
2015,Non-Elsevier,University of Mannheim,173
2018,Elsevier,TU Bergakademie Freiberg,131
2015,Non-Elsevier,Max Planck Institute for Evolutionary Biology,37
2014,Elsevier,University of Bremen,181
2014,Non-Elsevier,Chemnitz University of Technology,175
2013,Non-Elsevier,Deutsches Elektronen-Synchrotron DESY,151
2017,Non-Elsevier,University of Kassel,261
2020,Non-Elsevier,TU Bergakademie Freiberg,165
2013,Elsevier,Max Planck Institute for Biogeochemistry,16
2017,Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,20
2015,Elsevier,Max Planck Institute for Iron Research,71
2014,Non-Elsevier,Federal Institute For Materials Research and Testing,108
2019,Non-Elsevier,Fraunhofer Institute for Electronic Nano Systems,14
2018,Elsevier,Leuphana University of Lüneburg,55
2018,Non-Elsevier,Max Planck Institute for Brain Research,20
2014,Elsevier,Fraunhofer Institute for Material and Beam Technology,14
2018,Non-Elsevier,Max Planck Institute for Evolutionary Anthropology,105
2013,Elsevier,German Cancer Research Center,100
2020,Elsevier,Max Planck Institute for Biophysical Chemistry,15
2018,Non-Elsevier,University of Mannheim,168
2016,Elsevier,Otto-von-Guericke University Magdeburg,184
2017,Non-Elsevier,Karlsruhe University of Applied Sciences,13
2016,Non-Elsevier,Max Planck Institute for Biophysical Chemistry,152
2020,Non-Elsevier,Max Planck Institute of Molecular Physiology,46
2013,Elsevier,University of Paderborn,53
2019,Elsevier,University of Greifswald,92
2018,Non-Elsevier,Max Planck Institute for Chemical Physics of Solids,105
2014,Non-Elsevier,Max Planck Institute for Psycholinguistics,37
2017,Elsevier,Helmholtz Centre for Environmental Research,134
2017,Non-Elsevier,Münster University of Applied Sciences,21
2018,Non-Elsevier,University of Paderborn,235
2020,Elsevier,Technical University of Berlin,277
2020,Non-Elsevier,Deutsches Elektronen-Synchrotron DESY,235
2019,Non-Elsevier,Max Planck Institute for the Science of Human History,57
2019,Non-Elsevier,Max Planck Institute for Intelligent Systems,90
2017,Non-Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,54
2018,Elsevier,University of Lübeck,95
2017,Non-Elsevier,Max Planck Institute of Biochemistry,94
2014,Elsevier,"University of Veterinary Medicine Hannover, Foundation",82
2017,Non-Elsevier,University of Lübeck,310
2016,Elsevier,Max Planck Institute of Biochemistry,31
2018,Elsevier,Institute of Plant Genetics and Crop Plant Research,5
2016,Non-Elsevier,Max Planck Institute for the Science of Light,47
2013,Elsevier,TU Darmstadt,188
2017,Elsevier,University of Bayreuth,111
2014,Non-Elsevier,University of Giessen,598
2012,Non-Elsevier,Research Center Borstel - Leibniz-Center for Medicine and Biosciences,27
2012,Non-Elsevier,University of Wuppertal,125
2015,Non-Elsevier,Julius Kühn-Institut,51
2014,Elsevier,Saarland University,169
2013,Elsevier,Max Planck Institute for Nuclear Physics,22
2012,Non-Elsevier,Max Planck Institute for Plant Breeding Research,54
2019,Non-Elsevier,Leibniz Institute for Baltic Sea Research,47
2014,Non-Elsevier,Max Planck Institute for Chemistry,60
2016,Non-Elsevier,University of Augsburg,195
2013,Non-Elsevier,Max Planck Institute for Marine Microbiology,41
2018,Non-Elsevier,Heilbronn University,10
2018,Non-Elsevier,Max Planck Institute of Biochemistry,92
2015,Elsevier,University of Kaiserslautern,112
2020,Non-Elsevier,Research Center Borstel - Leibniz-Center for Medicine and Biosciences,53
2016,Non-Elsevier,University of Bamberg,91
2020,Elsevier,Fresenius University of Applied Sciences,8
2017,Elsevier,University of Greifswald,143
2014,Elsevier,Leipzig University,269
2012,Non-Elsevier,Max Planck Institute for Nuclear Physics,114
2012,Non-Elsevier,University of Kassel,166
2012,Elsevier,Bielefeld University,105
2016,Non-Elsevier,Max Planck Institute of Colloids and Interfaces,113
2019,Non-Elsevier,Max Planck Institute for Psycholinguistics,40
2019,Non-Elsevier,Max Planck Institute for Mathematics in the Sciences,42
2019,Non-Elsevier,Leipzig University of Applied Sciences,15
2019,Non-Elsevier,University of Passau,47
2013,Non-Elsevier,Helmut Schmidt University,51
2015,Elsevier,University of Würzburg,184
2012,Elsevier,University of Mannheim,44
2014,Elsevier,University of Potsdam,103
2020,Elsevier,Fraunhofer Institute for Molecular Biology and Applied Ecology,31
2019,Non-Elsevier,University of Education Weingarten,4
2012,Non-Elsevier,Helmholtz Zentrum München,216
2012,Non-Elsevier,Max Planck Institute for Molecular Biomedicine,25
2013,Elsevier,Goethe University Frankfurt,234
2016,Non-Elsevier,Fresenius University of Applied Sciences,8
2020,Non-Elsevier,Helmholtz Zentrum München,391
2017,Non-Elsevier,Max Planck Institute for Brain Research,18
2018,Non-Elsevier,Regensburg University of Applied Sciences,7
2014,Non-Elsevier,Max Planck Institute for Solar System Research,28
2015,Elsevier,Max Planck Institute for Biophysical Chemistry,24
2020,Non-Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,41
2020,Elsevier,University of Greifswald,87
2020,Elsevier,University of Hohenheim,132
2018,Elsevier,Technical University of Berlin,266
2018,Non-Elsevier,Institute of Plant Genetics and Crop Plant Research,60
2020,Non-Elsevier,Ilmenau University of Technology,129
2012,Non-Elsevier,Robert Koch Institute,134
2018,Non-Elsevier,Max Planck Institute for Nuclear Physics,67
2012,Elsevier,Chemnitz University of Technology,54
2014,Non-Elsevier,University of Paderborn,165
2016,Non-Elsevier,Max Planck Institute of Molecular Plant Physiology,49
2018,Elsevier,University of Münster,253
2015,Elsevier,Fraunhofer Institute for Industrial Mathematics,17
2017,Non-Elsevier,University of Hagen,56
2016,Elsevier,Max Planck Institute for Dynamics of Complex Technical Systems,44
2017,Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,76
2016,Non-Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,6
2020,Non-Elsevier,Augsburg University of Applied Sciences,5
2016,Non-Elsevier,Social Science Research Center Berlin,21
2012,Elsevier,University of Würzburg,200
2017,Non-Elsevier,Research Center Borstel - Leibniz-Center for Medicine and Biosciences,41
2017,Non-Elsevier,Mannheim University of Applied Sciences,17
2017,Non-Elsevier,Max Planck Institute for Plant Breeding Research,46
2014,Elsevier,Carl von Ossietzky University of Oldenburg,70
2016,Elsevier,"Bauhaus University, Weimar",30
2017,Elsevier,Philipp University of Marburg,172
2017,Elsevier,Max Planck Institute for Nuclear Physics,15
2016,Non-Elsevier,GSI Helmholtz Centre for Heavy Ion Research,108
2012,Non-Elsevier,Max Planck Institute for Dynamics of Complex Technical Systems,36
2014,Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,66
2015,Non-Elsevier,Max Planck Institute of Experimental Medicine,40
2013,Non-Elsevier,Zittau/Görlitz University of Applied Sciences,7
2019,Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,53
2013,Elsevier,"University of Veterinary Medicine Hannover, Foundation",71
2015,Non-Elsevier,Clausthal University of Technology,88
2013,Elsevier,Fraunhofer Institute for Process Engineering and Packaging,9
2017,Non-Elsevier,Fraunhofer Institute for Interfacial Engineering and Biotechnology,26
2018,Non-Elsevier,Museum für Naturkunde,54
2020,Non-Elsevier,Münster University of Applied Sciences,21
2015,Non-Elsevier,University of Greifswald,381
2012,Elsevier,Technical University of Berlin,198
2016,Elsevier,Fraunhofer Institute for Solar Energy Systems,54
2014,Non-Elsevier,Fraunhofer Institute for Material and Beam Technology,26
2016,Elsevier,Heidelberg University,314
2016,Elsevier,"University of Veterinary Medicine Hannover, Foundation",75
2018,Non-Elsevier,Alfred Wegener Institute for Polar and Marine Research,195
2015,Elsevier,University of Lübeck,90
2020,Non-Elsevier,German Rheumatism Research Centre,77
2012,Elsevier,Technische Universität Braunschweig,146
2018,Elsevier,Max Planck Institute for Molecular Genetics,10
2014,Non-Elsevier,University of Hohenheim,222
2012,Non-Elsevier,German Center for Neurodegenerative Diseases,86
2018,Non-Elsevier,Osnabrück University,177
2014,Non-Elsevier,GSI Helmholtz Centre for Heavy Ion Research,120
2017,Elsevier,Osnabrück University,43
2019,Elsevier,Leibniz Institute for Zoo and Wildlife Research,13
2017,Elsevier,Max Planck Institute for Evolutionary Biology,5
2016,Non-Elsevier,Max Planck Institute of Psychiatry,51
2019,Non-Elsevier,Leibniz Institute for Farm Animal Biology,50
2016,Non-Elsevier,University of Hagen,56
2014,Non-Elsevier,Ilmenau University of Technology,100
2012,Elsevier,Leibniz Institute for Analytical Sciences - ISAS,8
2019,Elsevier,Chemnitz University of Technology,92
2017,Elsevier,Max Planck Institute for Evolutionary Anthropology,32
2018,Elsevier,Helmholtz Zentrum München,113
2015,Elsevier,Osnabrück University,42
2015,Elsevier,Universität Hamburg,214
2017,Elsevier,University of Kassel,80
2017,Elsevier,Fraunhofer Institute for Microstructure of Materials and Systems,12
2017,Non-Elsevier,Fraunhofer Institute for Photonic Microsystems,4
2012,Elsevier,University of Hannover,125
2018,Non-Elsevier,German Rheumatism Research Centre,42
2016,Elsevier,Max Planck Institute for Polymer Research,13
2013,Elsevier,University of Potsdam,87
2020,Non-Elsevier,Leibniz Research Centre for Working Environment and Human Factors,36
2019,Elsevier,Helmholtz Zentrum München,86
2013,Non-Elsevier,Leuphana University of Lüneburg,81
2016,Elsevier,Helmholtz Centre for Infection Research,36
2017,Elsevier,University of Würzburg,150
2020,Non-Elsevier,Max Planck Institute for Radio Astronomy,35
2020,Non-Elsevier,GSI Helmholtz Centre for Heavy Ion Research,144
2019,Non-Elsevier,Bernhard Nocht Institute for Tropical Medicine,52
2020,Non-Elsevier,Max Planck Institute for Astronomy,51
2017,Elsevier,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut",14
2019,Elsevier,Technische Universität Braunschweig,199
2015,Elsevier,University of Rostock,127
2016,Elsevier,University of Hohenheim,175
2020,Elsevier,Robert Koch Institute,33
2015,Elsevier,German Sport University Cologne,29
2020,Non-Elsevier,Federal Institute For Materials Research and Testing,206
2013,Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,65
2018,Non-Elsevier,Leibniz Institute for Farm Animal Biology,50
2012,Non-Elsevier,Max Planck Institute for Chemical Physics of Solids,76
2017,Non-Elsevier,Deutsches Elektronen-Synchrotron DESY,170
2018,Non-Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,13
2016,Non-Elsevier,Neubrandenburg University of Applied Sciences,5
2015,Elsevier,Leibniz Institute for Farm Animal Biology,19
2016,Elsevier,University of Trier,41
2015,Elsevier,Fraunhofer Institute for Systems and Innovation Research,14
2012,Non-Elsevier,Hamburg University of Technology,102
2016,Elsevier,Paul Ehrlich Institut,11
2017,Elsevier,Fraunhofer Institute for Laser Technology,6
2013,Elsevier,German Sport University Cologne,23
2020,Non-Elsevier,Max Planck Institute for the Physics of Complex Systems,104
2012,Elsevier,Max Planck Institute for Biological Cybernetics,11
2018,Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,33
2013,Non-Elsevier,Osnabrück University,155
2015,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,143
2019,Elsevier,Goethe University Frankfurt,236
2014,Elsevier,Rhine-Waal University of Applied Sciences,1
2020,Non-Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,21
2013,Non-Elsevier,Leibniz Institute for Zoo and Wildlife Research,26
2017,Elsevier,Freie Universität Berlin,218
2018,Non-Elsevier,German Institute for International Educational Research,35
2019,Elsevier,Martin Luther University Halle-Wittenberg,147
2019,Elsevier,German Cancer Research Center,146
2015,Elsevier,Helmholtz Zentrum München,96
2017,Elsevier,University Medical Center Hamburg-Eppendorf,205
2020,Elsevier,Ostwestfalen-Lippe University of Applied Sciences and Arts,4
2019,Elsevier,Max Planck Institute for the Science of Human History,7
2012,Elsevier,University of Bremen,105
2017,Elsevier,Saarland University,208
2014,Elsevier,University of Bayreuth,129
2020,Non-Elsevier,University of Hohenheim,349
2020,Elsevier,Leuphana University of Lüneburg,45
2016,Non-Elsevier,German Institute for International Educational Research,26
2014,Non-Elsevier,Technische Universität Braunschweig,298
2020,Non-Elsevier,Max Planck Institute for the Structure and Dynamics of Matter,39
2015,Non-Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,8
2013,Elsevier,Max Planck Institute for Evolutionary Anthropology,27
2016,Non-Elsevier,Heidelberg University of Education,7
2020,Non-Elsevier,Max Planck Institute for Psycholinguistics,35
2019,Elsevier,University of Tübingen,299
2018,Elsevier,Federal Institute For Materials Research and Testing,70
2012,Non-Elsevier,Technische Universität Braunschweig,278
2020,Elsevier,German Cancer Research Center,167
2015,Non-Elsevier,Offenburg University of Applied Sciences,6
2012,Non-Elsevier,Hochschule Hannover,9
2016,Elsevier,University of Potsdam,148
2018,Non-Elsevier,Julius Kühn-Institut,60
2012,Non-Elsevier,University of Kaiserslautern,213
2017,Non-Elsevier,Leibniz Institute for Analytical Sciences - ISAS,25
2013,Non-Elsevier,University of Hohenheim,236
2015,Elsevier,Otto-von-Guericke University Magdeburg,189
2019,Elsevier,University of Bremen,184
2013,Elsevier,Federal Institute For Materials Research and Testing,59
2016,Non-Elsevier,Max Planck Institute for Intelligent Systems,116
2013,Elsevier,GEOMAR Helmholtz Centre for Ocean Research Kiel,38
2017,Non-Elsevier,Bernhard Nocht Institute for Tropical Medicine,37
2020,Non-Elsevier,Max Planck Unit for the Science of Pathogens,4
