article_pubyear,member,n_items
2019,14412,7
2013,14412,3
2020,14412,6
2016,1696,8
2015,1696,9
2017,1696,6
2018,1696,7
2020,1696,7
2015,4223,3
2018,4223,3
2018,317,1096
2019,317,1024
2013,292,1646
2014,292,1959
2019,14,95
2015,14,92
2020,14,74
2012,14,88
2013,14,59
2014,14,111
2016,14,81
2018,14,107
2017,14,97
2018,137,214
2014,13,489
2013,13,493
2012,137,212
2015,1567,2
2019,320,272
2018,341,315
2020,530,70
2019,2900,3
2020,5612,1
2016,6846,1
2015,7028,2
2016,276,868
2020,109,58
2018,109,46
2017,109,41
2019,109,46
2014,4034,3
2017,4034,5
2015,7072,3
2016,7072,3
2012,246,58
2013,246,72
2014,246,88
2015,246,69
2016,246,75
2018,246,52
2019,246,55
2017,246,87
2020,246,43
2018,2084,1
2014,24,123
2014,235,424
2013,235,437
2015,235,411
2012,235,416
2020,194,1146
2013,285,140
2019,4034,3
2020,266,1671
2019,266,1207
2019,2086,128
2020,2086,90
2016,2086,124
2017,2086,121
2018,2086,113
2014,2086,171
2015,2086,125
2012,2086,126
2013,2086,100
2015,6872,1
2017,8959,4
2016,8990,2
2016,5793,4
2018,5793,2
2014,5794,1
2015,6672,4
2020,5793,10
2018,36,12
2015,221,257
2016,221,297
2017,221,304
2018,221,344
2019,221,385
2020,221,494
2018,10164,8
2018,232,69
2020,232,80
2012,2002,1
2013,530,47
2015,530,56
2017,2487,60
2016,2487,71
2019,2487,38
2012,221,188
2014,221,199
2013,221,192
2014,6900,3
2012,175,133
2013,175,177
2014,175,208
2015,175,231
2016,175,244
2017,175,264
2018,175,278
2019,175,253
2020,175,334
2019,77,608
2017,6601,2
2019,10164,9
2020,340,1286
2016,340,1753
2017,340,1634
2018,340,1479
2019,340,1293
2020,6900,3
2012,10164,1
2014,340,2332
2015,2914,2
2016,137,178
2014,4277,2
2017,8597,5
2014,5913,13
2013,2060,29
2018,6002,2
2015,124,19
2019,124,14
2017,124,21
2019,8597,4
2018,2060,24
2015,2060,37
2019,2060,19
2014,2060,39
2017,2060,27
2020,2060,19
2020,408,27
2017,24531,1
2020,3145,1259
2012,16,3312
2013,16,3241
2019,265,87
2016,265,62
2015,265,82
2014,265,67
2017,265,77
2013,265,50
2020,265,73
2019,3145,1069
2019,4498,16
2012,73,4
2017,1941,13
2017,532,3
2015,532,5
2019,532,3
2015,1959,2
2019,4629,1
2017,4629,1
2018,73,28
2016,194,1028
2017,194,1262
2018,194,1154
2020,4498,14
2020,1941,28
2015,1941,2
2019,1941,27
2016,1941,6
2016,16188,1
2013,234,554
2016,234,455
2018,234,491
2020,1112,6
2019,1112,3
2013,1164,5
2019,1164,4
2020,73,20
2020,1670,3
2013,1670,4
2018,19614,1
2018,1941,15
2016,2457,359
2012,2457,348
2012,329,365
2013,329,247
2012,7149,14
2013,7149,9
2014,7149,15
2015,7149,16
2017,7149,8
2012,1968,270
2014,1968,457
2014,1959,9
2020,7349,2
2018,7352,2
2018,1670,2
2020,16132,6
2016,16117,2
2014,3285,34
2013,2258,28
2012,2258,29
2013,340,2584
2018,77,164
2020,10159,1
2020,77,15
2019,10132,1
2020,291,67
2018,291,63
2019,291,59
2017,16,3049
2018,16,3208
2019,16,3100
2020,16,3316
2016,5267,249
2017,5267,294
2013,5325,1
2015,1713,1
2015,4443,29
2013,4443,9
2014,4443,22
2012,317,516
2014,2258,44
2013,622,1
2012,77,76
2015,77,165
2013,77,171
2016,77,118
2017,77,61
2014,77,120
2020,5267,253
2018,5267,236
2019,5267,293
2020,16458,1
2020,5401,8
2015,291,67
2012,291,77
2013,291,64
2017,635,3
2020,635,3
2016,2258,57
2016,4443,75
2017,4443,84
2017,2258,113
2018,2258,119
2019,2258,143
2020,2258,97
2013,1968,376
2020,4443,90
2014,1574,8
2015,1574,9
2016,1574,7
2020,4184,1
2015,317,1179
2016,317,1027
2012,232,9
2013,232,16
2014,232,21
2015,232,40
2016,232,52
2013,3820,1
2019,2516,21
2014,2516,16
2015,2516,16
2020,2516,11
2017,2516,14
2012,2516,20
2013,2516,27
2020,425,44
2014,425,12
2019,232,81
2017,232,71
2012,292,1559
2020,3803,2
2018,425,40
2019,425,40
2015,425,33
2012,200,12
2013,200,13
2014,200,10
2012,140,180
2019,3815,1
2014,3145,849
2015,3145,984
2019,329,191
2020,329,190
2016,329,227
2020,2567,1
2012,18929,10
2013,18929,18
2014,18929,14
2015,18929,7
2016,18929,6
2018,18929,8
2020,18929,15
2017,2917,4
2019,1295,3
2015,1295,1
2020,2917,4
2012,1627,11
2013,1627,27
2014,1627,15
2015,1627,18
2016,1627,19
2017,1627,20
2018,1627,12
2019,1627,22
2017,98,410
2020,98,246
2015,329,276
2017,329,159
2018,329,182
2014,2457,520
2015,2457,483
2018,10602,34
2018,127,463
2019,127,427
2020,127,436
2015,10602,35
2014,10602,39
2016,10602,28
2018,4858,5
2017,235,358
2016,235,335
2019,235,302
2018,235,303
2020,235,342
2015,292,2275
2016,292,2285
2019,10602,35
2012,18712,2
2014,18712,2
2016,18712,5
2012,234,513
2020,10602,35
2019,98,310
2013,2457,450
2017,2457,231
2015,426,9
2013,426,12
2014,426,4
2020,426,13
2020,1211,2
2015,1211,2
2013,1211,4
2012,1212,10
2013,1212,4
2014,1212,6
2019,1212,1
2020,1213,4
2017,2926,7
2012,3486,1
2012,2558,3
2014,2558,9
2016,2558,2
2017,2558,8
2018,2558,9
2020,2558,11
2020,358,24
2017,358,24
2012,285,292
2013,219,243
2014,219,302
2020,219,277
2015,219,259
2012,219,309
2017,219,272
2019,219,285
2016,219,284
2018,219,247
2019,2673,122
2020,2673,88
2018,2673,126
2017,2673,50
2016,2673,9
2016,2549,19
2018,6205,1
2019,6205,1
2017,2924,2
2020,2549,19
2013,2557,2
2014,2557,2
2016,2557,1
2012,288,55
2013,288,85
2014,288,53
2015,288,49
2012,2549,23
2015,2549,21
2012,NA,3
2018,2920,1
2019,27791,1
2014,21493,1
2018,2549,14
2019,16137,11
2013,16137,2
2020,16137,8
2012,189,88
2013,189,88
2014,189,84
2015,189,65
2016,189,98
2017,189,77
2018,189,51
2019,189,43
2020,189,42
2018,1871,2
2017,317,1084
2019,9060,4
2018,9060,4
2019,233,269
2018,233,236
2020,233,294
2019,16235,8
2018,16235,3
2012,127,442
2014,127,461
2013,127,451
2016,233,269
2017,233,233
2015,1861,6
2012,16235,4
2013,16235,4
2016,1861,5
2019,1861,2
2014,1861,6
2019,4443,96
2016,3169,11
2013,3169,6
2012,3169,2
2015,6511,1
2012,527,9
2014,527,7
2012,281,48
2016,281,45
2014,281,58
2017,281,43
2013,281,68
2017,3285,37
2018,281,52
2019,281,60
2015,281,65
2019,24,110
2015,5451,1
2018,5463,2
2017,7543,7
2018,7543,3
2020,7543,3
2017,186,19
2018,186,26
2019,186,14
2020,186,16
2016,4256,1
2018,7570,8
2019,3169,5
2018,3470,4
2017,7570,3
2020,7570,1
2013,33,122
2012,33,97
2014,33,66
2015,33,120
2017,6456,2
2013,4256,1
2015,16,2949
2017,127,487
2016,127,535
2015,127,484
2014,16,3003
2016,16,3113
2012,294,5
2013,294,3
2014,294,8
2016,294,4
2018,2249,43
2019,2249,45
2016,1260,17
2019,1260,4
2013,1260,11
2020,1260,4
2013,3361,6
2014,3361,7
2016,3361,3
2013,10602,25
2013,859,4
2020,2249,29
2013,320,190
2016,2249,69
2012,2249,50
2019,81,71
2020,81,97
2012,3197,51
2015,3197,52
2020,170,18
2018,170,11
2017,859,8
2018,2457,166
2013,2249,51
2014,2249,63
2015,2249,55
2018,10511,1
2016,10468,1
2018,10468,4
2020,859,3
2017,1260,2
2018,1260,3
2013,155,32
2019,155,35
2017,4415,6
2012,155,45
2016,1332,3
2018,2581,54
2020,2581,36
2016,859,4
2013,37,116
2014,37,102
2015,37,88
2016,37,96
2012,350,3
2017,2581,41
2013,278,233
2015,278,203
2015,5195,4
2012,417,10
2014,417,12
2013,417,8
2015,417,11
2016,417,4
2020,417,6
2016,6096,5
2018,6096,4
2013,6096,2
2015,6096,3
2014,317,889
2017,37,104
2018,37,99
2019,37,118
2020,37,78
2013,350,1
2014,330,5
2015,330,5
2013,1881,28
2015,1881,17
2014,1881,22
2018,1881,35
2019,1881,31
2020,1881,19
2016,1881,31
2012,1881,18
2018,20800,1
2020,6082,2
2020,292,1858
2016,1604,4
2014,278,242
2017,278,204
2018,278,193
2019,278,198
2020,278,220
2016,278,173
2012,278,236
2012,37,107
2015,4374,125
2016,4374,155
2017,4374,178
2018,5186,2
2018,4374,177
2017,4687,24
2012,4021,5
2013,4021,3
2017,4021,1
2012,147,79
2017,147,45
2015,147,83
2013,147,87
2016,147,46
2016,4297,6
2017,4297,8
2019,4297,7
2020,4297,6
2015,345,124
2016,100,15
2020,4047,7
2012,100,14
2014,100,26
2015,100,25
2019,100,14
2013,100,18
2018,100,17
2020,100,25
2013,42,8
2015,42,17
2016,42,14
2020,42,21
2012,1442,5
2016,1442,3
2018,1442,5
2020,1442,7
2017,345,158
2019,345,95
2016,345,125
2012,345,122
2013,345,96
2014,345,127
2019,42,18
2020,11790,6
2019,26714,2
2018,26714,1
2016,11790,1
2019,11790,4
2017,1112,7
2018,1112,8
2013,1112,3
2018,4059,4
2019,4059,2
2014,19101,1
2016,4913,59
2017,4913,18
2018,4913,39
2019,4913,28
2020,4913,30
2019,17365,2
2015,7437,211
2019,8723,4
2013,844,3
2020,18722,4
2017,4186,12
2013,4186,6
