article_pubyear,member,n_items
2013,10293,1
2016,3356,1
2020,3785,1
2017,3785,1
2016,3614,3
2019,1747,48
2020,1747,54
2018,1747,43
2019,10665,3
2020,10665,1
2018,11424,1
2019,9318,1
2015,432,8
2017,432,11
2018,11437,32
2019,11437,26
2020,11437,28
2016,1362,1
2015,1320,6
2018,2208,4
2020,11423,3
2019,11423,4
2015,23443,1
2012,164,1
2012,2017,1
2018,2602,1
2018,81,59
2017,81,91
2016,81,57
2012,861,1
2015,861,5
2015,6171,4
2018,6171,3
2016,6171,2
2019,3480,3
2016,2595,1
2014,10055,1
2019,3461,2
2020,3461,4
2014,8893,1
2014,4950,5
2019,2165,7
2016,299,1
2020,5130,11
2014,5007,3
2016,71,1
2013,2013,2
2016,18616,2
2018,332,29
2013,11,10
2017,11,18
2018,11,19
2019,11,17
2014,11,14
2020,11,4
2016,11,13
2015,11,13
2012,2641,20
2018,8900,5
2017,8907,11
2018,8907,28
2019,8907,52
2020,8907,50
2012,2694,3
2015,2694,3
2016,2694,6
2020,2694,2
2015,8550,7
2016,8550,4
2020,8550,5
2019,33,115
2015,234,442
2015,1911,1
2013,1911,5
2017,1453,1
2012,1449,14
2013,1449,8
2013,1484,1
2014,1449,7
2014,1484,1
2017,19173,1
2017,1449,5
2018,1449,5
2019,17358,2
2019,1449,5
2020,1010,177
2017,1010,58
2013,1010,23
2016,1010,38
2012,1010,7
2014,1010,21
2015,1010,21
2017,181,8
2019,181,14
2020,181,16
2015,5581,1
2020,5581,3
2013,1049,5
2015,1049,3
2016,1049,9
2018,67,33
2019,7696,5
2020,7696,3
2016,8852,1
2018,7717,15
2019,7717,3
2019,1049,7
2020,1049,7
2020,735,16
2014,3180,3
2018,8586,1
2012,1355,2
2016,1355,1
2012,27,73
2013,27,85
2014,27,79
2015,27,82
2015,7680,1
2020,8852,5
2017,7696,5
2017,18401,2
2013,3285,16
2013,22609,2
2017,27,172
2014,5573,1
2016,27,71
2018,27,145
2019,27,173
2020,27,145
2016,9411,1
2015,9411,4
2020,7810,1
2012,314,1
2017,5083,5
2018,5083,2
2019,5083,3
2013,6251,4
2017,3374,16
2020,3374,12
2018,3374,5
2014,3374,3
2014,3816,5
2020,314,3
2017,122,2
2017,962,1
2012,425,16
2013,3381,1
2012,4444,1
2014,6535,3
2014,6251,7
2016,3816,1
2016,6251,7
2019,4437,1
2020,6151,1
2014,3402,1
2017,6535,5
2018,6535,7
2018,6251,2
2019,2811,1
2018,2811,4
2013,2805,2
2013,3229,2
2013,4487,4
2017,5631,2
2014,2811,1
2017,4036,1
2019,5645,3
2017,11263,1
2012,1577,12
2013,1577,18
2014,1577,18
2015,1577,15
2016,1577,11
2018,1577,22
2019,1577,11
2020,1577,13
2015,4492,1
2012,1670,5
2016,3223,4
2020,3223,1
2020,13,752
2012,1747,50
2013,1747,49
2014,1747,36
2015,1747,42
2016,1747,35
2017,1747,56
2019,73,17
2015,8044,1
2017,73,20
2020,341,408
2020,19395,6
2018,1942,5
2020,27626,6
2017,1936,1
2012,1942,6
2014,1942,6
2015,381,4
2016,381,12
2017,381,9
2012,381,13
2018,381,15
2020,381,5
2016,2209,5
2018,2209,7
2013,2209,2
2017,2209,12
2014,2209,9
2020,2209,5
2015,1944,1
2019,1944,3
2016,1944,2
2012,11437,24
2013,11437,18
2014,11437,28
2015,11437,23
2016,11437,22
2017,11437,27
2013,73,6
2019,341,334
2019,2326,1
2016,5235,5
2013,8849,3
2015,8849,8
2019,3908,3
2019,22273,2
2017,22273,2
2013,22273,1
2020,11006,4
2018,4498,8
2018,5235,6
2020,5235,5
2013,2322,14
2020,2322,2
2019,12380,31
2020,12380,29
2014,4374,75
2013,4374,26
2012,4374,3
2019,5235,27
2016,8849,5
2016,9460,1
2012,3595,3
2014,1602,42
2012,1602,38
2013,1602,34
2018,5410,4
2019,3554,10
2020,3554,4
2015,3595,9
2013,3595,8
2014,3595,7
2016,3595,9
2018,3595,9
2020,3595,21
2013,19526,3
2014,19526,3
2017,19526,5
2013,3,3
2018,3,10
2019,3,13
2017,5406,1
2014,3312,1
2012,231,19
2014,17418,2
2018,163,1
2013,28163,1
2015,6124,6
2014,7284,1
2017,6100,1
2020,3330,3
2013,3356,2
2014,408,10
2015,8215,3
2019,10454,2
2017,7244,16
2017,7284,2
2018,7284,2
2015,7244,10
2018,7244,7
2016,7244,49
2014,3052,2
2013,2432,80
2014,2432,61
2018,2432,36
2018,9598,18
2019,9598,15
2020,9598,20
2017,2473,2
2014,16862,1
2020,9635,5
2019,7570,7
2016,2863,2
2018,2863,4
2019,2863,2
2012,5784,2
2013,1782,5
2014,12278,4
2014,1782,2
2017,8841,7
2015,2904,1
2018,2904,1
2013,2900,2
2019,8859,14
2020,8859,11
2020,285,32
2018,285,31
2019,9705,1
2020,2986,3
2013,6890,2
2016,16089,6
2014,3908,15
2018,3908,9
2017,200,3
2018,345,78
2018,1073,1
2019,27064,2
2018,2937,1
2012,79,62
2013,79,60
2013,2062,6
2015,5950,2
2016,5950,3
2020,5950,3
2013,10,67
2018,2062,5
2016,2062,5
2019,613,33
2015,9749,3
2014,79,86
2019,6464,1
2018,6464,2
2013,6332,1
2013,1183,22
2014,1183,14
2018,1183,25
2020,1183,26
2013,1187,2
2013,11812,4
2017,11812,2
2013,1305,3
2014,1305,3
2020,1305,6
2017,377,14
2020,377,11
2013,377,9
2015,377,7
2019,377,10
2017,17807,2
2018,6394,9
2019,6394,9
2020,6394,7
2014,6394,5
2015,6394,5
2016,6394,7
2017,6394,8
2012,5258,1
2013,5258,2
2017,1208,3
2018,1208,39
2019,1208,41
2020,1208,39
2012,9466,11
2013,9466,7
2016,9466,5
2017,9466,5
2017,1060,1
2014,1188,1
2015,1188,1
2018,1188,6
2019,1188,4
2018,1190,3
2018,5860,9
2017,5860,6
2015,5860,3
2014,5716,3
2015,5716,1
2014,5727,2
2017,5752,3
2015,2432,41
2016,2432,39
2018,12258,2
2019,381,11
2013,2,3
2012,2,4
2017,5718,2
2013,384,1
2014,384,3
2020,384,4
2014,5130,3
2015,5130,5
2017,5130,6
2012,5716,1
2018,12228,1
2014,329,249
2018,12203,2
2017,2902,55
2016,2902,59
2018,2902,58
2019,2902,49
2012,2902,45
2013,2902,45
2020,2902,56
2014,2902,45
2015,2902,50
2016,2774,21
2017,2774,26
2018,2774,20
2020,2774,14
2014,2774,7
2015,2774,24
2019,2774,10
2013,2774,12
2012,2774,5
2013,432,2
2018,432,12
2016,432,12
2014,25486,1
2017,25486,1
2015,24748,1
2019,1696,6
2015,2782,2
2014,434,9
2017,434,4
2012,2780,1
2014,2780,1
2019,15129,3
2020,8280,1
2016,17808,2
2015,45,25
2019,5106,1
2013,5093,13
2020,2389,3
2012,19,27
2013,4913,23
2014,4913,50
2015,4913,48
2013,20,15
2020,3527,1
2013,45,10
2014,45,13
2016,45,19
2017,45,6
2018,45,20
2020,45,16
2012,45,6
2013,4885,1
2015,2371,17
2013,2371,18
2012,2371,2
2019,19,42
2015,3612,9
2017,3612,4
2020,3612,5
2014,3612,5
2015,5093,11
2019,5093,14
2014,5093,7
2016,5093,21
2017,5093,11
2018,5093,13
2012,4913,12
2015,3523,1
2012,3523,2
2013,3523,3
2013,10233,2
2020,2371,8
2019,2371,9
2016,2371,12
2018,3523,2
2017,8859,10
2015,8859,10
2013,8859,8
2014,8859,5
2016,8859,9
2014,6959,1
2013,18083,1
2020,18083,1
2018,2359,6
2020,8841,9
2018,8841,4
2013,2350,1
2013,2359,5
2020,2359,6
2019,2359,9
2020,6932,2
2018,9336,101
2016,9346,4
2018,9346,47
2020,9346,19
2017,9346,21
2019,9346,21
2016,2396,1
2020,2397,4
2014,2398,1
2012,2427,2
2014,2436,1
2020,2436,1
2014,381,11
2015,994,1
2020,996,4
2019,9326,1
2016,9336,31
2017,9336,87
2019,9336,75
2020,9336,93
2014,2428,1
2016,2436,3
2016,5334,1
2017,2396,1
2013,17807,3
2012,1222,1
2020,1230,3
2017,7719,3
2016,7719,10
2015,7719,3
2019,1183,15
2019,16899,5
2020,16899,3
2012,1235,8
2013,1235,3
2016,1235,7
2020,16903,2
2019,17302,2
2013,9293,2
2014,17268,4
2017,1228,1
2012,1183,13
2015,1183,20
2016,1183,20
2017,1183,17
2014,4601,1
2015,4601,4
2015,2795,10
2016,2795,8
2017,2795,13
2018,2795,9
2019,2795,11
2020,2795,15
2012,3433,6
2013,3433,9
2014,3433,20
2015,3433,21
2016,3433,20
2012,1756,26
2013,1756,10
2014,1756,15
2015,1756,22
2017,1756,24
2018,1756,15
2020,1756,23
2015,437,1
2020,9060,9
2020,21576,26
2018,20179,2
2019,10279,6
2019,1595,1
2019,8170,1
2020,4211,12
2012,3979,7
2015,3979,14
2014,3979,6
2018,10051,2
2018,8139,2
2018,6049,1
2014,27150,1
2016,1893,2
2018,28906,23
2019,10226,1
2017,8158,1
2014,1214,1
2019,1214,5
2015,7980,1
2020,8021,7
2020,8050,3
2019,2731,10
2020,2731,10
2014,1250,2
2018,1250,1
2015,8012,1
2013,317,471
2012,186,16
2014,186,13
2015,186,14
2016,186,18
2018,18712,3
2012,2262,7
2013,2262,12
2014,2262,8
2015,2262,14
2017,1214,5
2018,1214,4
2015,2258,46
2018,2260,1
2013,1822,9
2014,1822,5
2018,1822,4
2020,9508,4
2017,4505,17
2018,4505,13
2019,4505,5
2014,6206,1
2015,6799,1
2017,6799,4
2018,6250,3
2012,5777,19
2013,5777,22
2015,5777,11
2016,5777,9
2018,5777,19
2019,5777,16
2020,5777,22
2016,2895,1
2016,27475,2
2020,27475,5
2018,1574,12
2012,5195,4
2014,5195,4
2019,1826,2
2017,425,42
2016,425,39
2018,5784,6
2015,5784,2
2017,5784,5
2020,5784,1
2016,5354,1
2018,5855,12
2017,5855,6
2013,5855,2
2012,2863,3
2014,2863,5
2018,635,5
2019,5855,13
2019,3683,1
2018,1161,1
2015,3691,6
2016,3691,6
2017,3691,7
2018,3691,6
2020,3691,3
2020,1015,1
2019,3433,24
2020,3433,29
2020,3570,3
2017,4818,1
2016,9508,2
2017,1012,2
2015,1012,3
2016,1150,8
2018,3433,10
2017,3433,5
2018,22796,7
2019,22796,17
2019,4211,5
2013,3689,6
2016,3689,3
2017,17,10
2018,17,6
2019,17,12
2020,17,4
2020,3722,2
2016,11423,1
2018,21493,3
2014,3097,1
2015,3683,1
2014,4194,9
2014,3710,4
2016,3710,6
2015,3711,2
2013,3726,5
2016,3726,2
2012,1076,25
2013,1076,27
2014,1076,28
2015,1076,24
2016,1076,25
2018,1076,16
2019,1076,17
2020,1076,12
2017,20123,8
2019,3733,2
2017,1076,23
2018,20123,4
2019,20123,9
2017,4672,2
2018,1894,1
2016,9467,2
2015,5856,5
2016,5856,12
2017,5856,9
2018,5856,20
2019,5856,18
2020,3846,2
2016,291,65
2017,291,85
2014,16603,7
2016,16603,4
2020,16603,7
2019,16603,7
2020,18012,3
2013,5273,2
2014,291,54
2019,17013,1
2012,1783,6
2014,1783,2
2017,1783,2
2018,1783,3
2020,1783,2
2018,7149,12
2020,10852,1
2013,5727,4
2014,1320,12
2016,1665,19
2019,19526,4
2015,1987,4
2017,1987,3
2020,1987,5
2016,11752,3
2020,124,5
2016,124,9
2013,124,4
2019,10851,1
2018,18616,3
2018,5727,6
2014,8044,1
2014,9895,1
2013,5802,1
2016,5462,4
2016,5438,2
2019,382,5
2020,382,10
2014,5465,3
2015,5471,1
2016,1308,5
2017,382,7
2018,382,7
2019,5452,13
2016,5473,2
2019,5433,1
2013,5452,12
2015,5452,8
2016,5452,17
2018,5452,2
2016,3111,1
2017,3111,7
2018,3111,10
2014,3146,3
2015,3146,6
2016,3146,2
2019,8067,1
2012,1931,3
2020,1931,9
2017,1931,10
2019,1931,12
2019,6218,2
2012,3111,4
2012,2811,2
2017,11723,3
2019,861,1
2017,8273,1
2018,8273,1
2012,7151,2
2015,3285,8
2016,8083,2
2017,21203,3
2017,5433,2
2018,8257,3
2015,1,2
2014,3905,1
2017,1822,11
2013,1243,10
2012,1243,9
2015,10966,1
2020,24691,1
2012,18634,6
2020,3932,1
2017,1240,1
2018,1243,11
2013,12114,1
2020,12109,3
2020,67,23
2019,18241,1
2017,16089,12
2015,2643,9
2014,6057,1
2012,3757,7
2015,3757,2
2017,3757,1
2020,3757,1
2018,6121,3
2012,1078,16
2019,6121,2
2014,6121,2
2018,4092,1
2019,5184,5
2012,10978,1
2014,1389,1
2012,10894,2
2019,8818,1
2015,16259,2
2015,846,1
2015,8662,1
2019,860,6
2020,860,6
2019,4502,3
2019,1566,3
2018,1568,1
2012,2914,3
2014,14412,5
2012,1696,7
2019,4223,5
2018,5533,1
2013,5546,2
2018,14412,9
2020,5515,6
2019,7072,1
2013,2084,1
2016,2084,1
2020,2084,2
2019,6922,1
2016,8959,6
2018,4034,2
2012,1658,1
2014,1658,1
2016,4492,2
2012,181,4
2015,6900,2
2019,6900,2
2018,6900,5
2016,10164,4
2013,10164,1
2020,6588,10
2015,4247,1
2012,9060,1
2014,6002,2
2014,8597,5
2018,8597,1
2020,8597,4
2012,8597,6
2017,4247,6
2015,4242,1
2014,11652,1
2017,1959,5
2020,532,3
2013,532,1
2013,1959,6
2013,1941,9
2015,1675,1
2017,16188,2
2018,1164,3
2015,1670,2
2020,22494,1
2018,1959,6
2020,1959,7
2016,7320,1
2018,16117,1
2016,1675,1
2018,1675,1
2012,3285,6
2019,10137,6
2016,4571,2
2016,11893,1
2018,2516,7
2016,2516,7
2012,6748,1
2018,2567,2
2017,18929,6
2019,2917,4
2014,11808,1
2020,1627,16
2020,19944,2
2019,2470,1
2017,10602,49
2015,18712,6
2014,2471,1
2016,426,8
2017,426,11
2019,426,14
2016,1212,3
2013,1213,2
2012,1213,3
2019,1213,2
2014,20934,1
2015,2558,4
2019,2558,6
2019,2674,1
2018,299,3
2019,299,1
2014,358,8
2018,358,8
2013,2924,1
2012,2673,1
2013,2549,29
2012,6230,1
2012,426,1
2017,3500,1
2017,2920,3
2018,1211,3
2018,1212,1
2016,2669,1
2020,21196,1
2015,1871,1
2020,1861,1
2016,23476,1
2019,23476,3
2016,6579,2
2017,3169,7
2018,3169,5
2013,6422,1
2017,6469,2
2013,527,11
2016,5451,1
2016,7543,6
2019,7543,4
2020,2029,1
2014,6511,1
2020,3169,4
2017,3992,2
2019,6579,1
2013,6499,1
2020,294,6
2012,859,7
2014,859,9
2015,859,9
2016,10762,6
2013,351,1
2012,4415,1
2019,4415,1
2019,170,9
2015,10468,1
2019,10468,3
2013,4415,3
2018,4415,2
2014,1332,2
2019,1332,2
2016,18777,1
2017,417,7
2017,6096,6
2018,350,4
2017,1881,23
2020,6096,3
2019,1604,4
2018,4687,11
2019,4021,2
2015,4253,2
2015,4297,9
2018,4297,7
2012,42,7
2014,42,6
2018,42,17
2019,1442,6
2016,898,2
2013,848,1
2018,4306,4
2019,4306,2
2020,4186,4
2018,4186,2
2014,3820,2
2016,3820,1
2015,4185,1
2019,25112,1
2020,1892,1
2016,5239,1
2018,4226,4
2012,2216,3
2015,2216,3
2018,2216,6
2018,1387,8
2017,1387,6
2020,16314,1
2018,16314,2
2012,11926,1
2014,2224,1
2017,9479,2
2015,9479,2
2017,23785,5
2013,187,3
2018,187,5
2019,187,6
2013,3319,1
2017,252,6
2018,252,7
2012,252,8
2017,3319,2
2017,5007,1
2020,28352,2
2014,3053,1
2017,9021,6
2016,3054,1
2020,25245,2
2012,20188,2
2016,20188,1
2020,20188,3
2015,10894,4
2013,1320,7
2016,1320,5
2013,10894,1
2016,970,1
2015,170,9
2019,6146,2
2017,17074,3
2017,4873,5
2016,1745,7
2013,1745,3
2013,416,19
2013,5675,7
2016,412,4
2018,412,2
2018,16744,3
2019,16242,1
2012,3215,1
2014,3215,1
2020,3209,1
2013,3151,3
2016,3151,1
2019,3151,2
2016,8439,2
2018,8439,1
2019,3178,1
2013,3161,1
2018,8565,1
2017,24700,3
2014,9021,1
2015,3150,1
2013,3176,3
2017,6228,4
2020,3173,1
2020,3185,1
2017,3209,5
2014,2101,4
2016,1522,1
2012,1748,6
2014,1748,10
2015,2,4
2015,5258,2
2017,5258,4
2018,5258,3
2012,171,2
2017,9775,1
2019,9787,1
2020,2580,1
2012,2560,6
2019,859,2
2012,8159,1
2020,4713,2
2016,1901,1
2018,1592,1
2014,3209,4
2013,5107,1
2018,9236,4
2018,9266,2
2019,9266,1
2012,2674,18
2015,825,1
2012,8849,7
2014,8849,4
2015,4380,1
2014,138,1
2013,138,2
2014,121,1
2015,9286,3
2020,4621,1
2012,9266,1
2013,8665,2
2019,9273,1
2020,7555,1
2020,533,1
2015,6616,1
2017,6616,1
2019,3882,5
2015,3249,1
2012,16089,9
2013,16089,5
2013,102,5
2015,7802,2
2015,408,11
2012,7447,2
2016,2708,6
2014,2720,27
2016,2720,25
2020,3042,2
2012,1272,9
2016,11128,2
2018,11128,1
2014,4935,1
2019,8939,1
2013,793,2
2014,2718,1
2012,2718,7
2018,2262,9
2019,2262,15
2018,11138,1
2018,4947,16
2020,11070,3
2016,11560,1
2017,1604,5
2016,11068,1
2018,11530,4
2019,14905,3
2013,2273,6
2015,6689,3
2014,3819,7
2015,3819,3
2013,6713,1
2020,2525,2
2019,16894,2
2013,18616,1
2016,1913,4
2019,4365,12
2020,6221,1
2015,4421,3
2017,4421,2
2015,2954,3
2018,26953,1
2013,2632,1
2018,2632,2
2020,18616,2
2014,1665,4
2017,5351,3
2018,5351,3
2015,3030,1
2018,1665,13
2014,352,5
2013,1310,3
2018,1310,4
2018,8849,3
2019,2998,4
2019,3030,1
2019,352,4
2018,3641,2
2013,3641,1
2019,996,4
2016,3578,2
2020,2997,2
2013,2997,1
2020,5739,4
2017,15940,2
2019,15940,2
2016,22877,1
2020,22877,1
2012,22877,1
2020,23059,1
2018,8421,1
2016,3656,5
2019,163,1
2015,349,3
2018,349,2
2015,8418,1
2020,8452,1
2014,4381,2
2019,3979,4
2013,4859,2
2016,4870,4
2018,4870,3
2015,1606,1
2018,4142,3
2012,17071,2
2017,4226,3
2012,4226,1
2016,8933,4
2019,6169,1
2013,14744,1
2020,9960,1
2019,200,1
2017,9389,1
2019,19772,1
2012,16018,1
2015,7847,1
2019,5328,1
2013,5262,4
2020,5262,1
2020,5263,1
2020,18712,3
2019,8908,3
2020,8908,7
2012,1858,6
2014,1858,1
2017,1858,2
2016,138,9
2017,36,7
2019,18712,2
2015,2482,3
2017,2482,2
2019,2482,1
2019,2483,1
2016,17418,3
2019,24934,1
2020,24934,3
2017,5288,1
2016,8984,1
2019,7659,2
2017,7609,1
2020,6171,4
2017,6048,3
2016,6743,3
2017,17358,2
2018,6036,14
2018,1754,21
2016,7717,2
2015,6678,3
2017,7717,1
2019,9195,1
2016,10352,1
2013,2895,2
2020,21683,1
2015,10411,3
2012,2321,2
2019,2321,9
2020,2321,11
2017,2321,3
2018,28464,3
2019,28464,6
2017,10355,1
2013,3456,3
2014,3456,4
2020,2901,5
2020,2208,2
2017,23082,3
2016,19787,1
2020,10308,1
2018,10293,1
2012,10293,1
2017,10295,1
2012,575,6
2014,575,2
2018,3542,1
2013,3554,1
2016,3785,2
2019,3361,12
2013,3614,3
2014,3614,8
2020,3614,2
2017,8044,3
2019,7185,1
2020,23140,2
2017,23443,1
2017,10894,3
2013,164,1
2017,10762,4
2018,124,4
2019,1149,1
2020,10756,1
2014,861,1
2018,2595,2
2016,2594,1
2015,2900,3
2020,4950,1
2017,25425,1
2016,2165,13
2018,2165,6
2020,2165,6
2015,2165,5
2015,4630,1
2013,5218,1
2014,2165,7
2013,2165,3
2013,2751,3
2019,71,1
2020,23092,2
2012,11,7
2020,20123,16
2017,2013,2
2017,19169,4
2019,6225,5
2013,3478,2
2014,8410,4
2015,1449,1
2016,1449,3
2018,181,12
2015,5542,1
2017,5574,1
2018,5574,2
2012,1049,13
2012,67,39
2017,5542,1
2017,1049,5
2013,1355,2
2017,1355,1
2012,7815,3
2014,7815,10
2018,5552,5
2019,8852,8
2014,7696,4
2016,7696,2
2015,7696,1
2018,5555,1
2020,9411,6
2017,9411,4
2020,8505,1
2014,314,2
2015,5083,1
2013,5083,2
2015,3374,4
2012,3374,14
2013,3374,13
2015,3816,1
2017,3816,1
2019,3816,2
2013,425,10
2016,6187,2
2018,122,1
2017,3381,1
2018,4609,1
2018,25426,1
2015,6251,4
2018,3816,1
2017,6251,2
2019,3402,1
2017,25426,2
2017,2811,7
2018,3229,1
2018,3246,1
2015,2811,3
2014,1727,3
2017,1577,14
2014,3223,3
2017,3223,4
2018,3223,1
2016,7274,3
2019,1670,2
2020,17385,1
2015,73,4
2017,1942,4
2013,1942,6
2015,1942,3
2019,1942,7
2020,1942,5
2015,2209,4
2019,2209,2
2014,4418,3
2014,73,3
2018,1320,1
2012,2322,4
2018,12380,14
2016,16259,3
2014,3564,1
2020,11943,4
2017,165,5
2012,3,3
2017,3,3
2020,3,10
2020,3564,2
2013,6048,4
2018,4194,3
2013,27199,1
2018,439,1
2013,6075,5
2012,16259,1
2012,422,1
2015,3330,1
2017,10446,1
2020,10446,1
2020,7244,11
2019,7284,2
2020,7284,2
2017,2440,2
2017,9598,4
2016,9602,1
2014,2883,1
2016,8841,3
2020,2905,1
2015,4696,1
2018,8859,11
2019,4721,1
2019,2611,1
2012,1073,3
2014,1073,1
2014,6890,4
2014,27064,4
2013,27064,1
2020,27064,1
2012,2937,2
2014,2367,3
2014,2062,7
2015,2062,2
2012,2062,8
2012,2273,8
2017,5976,3
2018,5950,2
2017,2062,4
2014,4873,4
2020,2062,2
2015,4873,4
2017,5946,1
2019,5946,2
2020,5946,1
2017,6464,4
2012,6464,2
2016,6464,3
2013,6464,2
2019,6368,3
2020,4386,2
2015,1305,1
2017,1305,4
2016,377,5
2018,377,5
2017,21814,1
2017,1187,1
2012,1208,2
2020,1209,1
2014,9466,4
2012,1188,2
2013,1188,2
2016,1188,5
2014,1190,3
2015,1190,4
2017,4386,3
2017,1574,7
2012,4304,1
2017,4304,1
2014,16259,2
2020,5727,2
2017,2,4
2017,384,1
2013,5130,2
2019,5130,7
2018,5130,7
2019,5236,2
2017,5727,4
2014,2133,1
2020,12294,1
2020,432,2
2014,432,5
2017,7274,2
2020,23748,1
2012,25938,1
2019,26034,1
2014,26034,1
2014,1696,4
2016,16071,1
2016,2840,1
2013,2782,2
2012,7274,1
2013,434,6
2015,434,1
2016,434,2
2018,434,5
2020,434,2
2020,25480,7
2015,1121,1
2019,45,23
2019,4885,2
2020,4885,1
2014,2371,8
2013,3612,3
2018,3612,4
2019,3612,7
2020,5093,12
2016,4996,1
2017,2371,7
2018,2371,2
2018,6995,1
2019,3523,2
2020,3523,2
2019,9064,1
2020,9064,3
2012,8859,7
2018,6228,1
2014,2359,1
2012,2359,1
2019,18080,2
2016,7202,1
2016,8820,2
2014,5830,2
2015,5830,5
2014,2396,1
2013,2397,2
2019,2436,4
2017,5334,2
2018,5334,2
2020,5334,2
2014,994,2
2017,994,1
2015,2427,1
2017,2427,1
2020,5307,2
2018,2397,2
2018,17807,5
2020,5308,3
2019,17807,1
2016,21052,1
2019,7719,5
2018,7719,5
2017,9869,1
2014,1235,4
2015,1235,4
2020,3407,1
2015,3408,1
2017,4601,3
2014,2795,6
2016,1756,14
2019,1756,13
2018,1595,2
2020,8170,2
2018,10224,1
2020,10232,1
2013,3979,2
2017,8177,1
2019,8158,1
2012,27150,2
2015,1894,2
2019,10235,1
2020,3979,5
2017,10270,1
2020,1214,6
2020,7322,2
2019,1250,1
2016,1251,1
2020,7994,1
2017,7828,1
2020,8100,5
2012,1822,11
2015,1822,5
2016,1822,6
2018,6206,1
2019,6206,4
2012,6179,2
2020,3111,2
2014,5777,16
2018,2895,5
2019,2895,3
2019,27475,3
2016,5784,7
2019,5784,2
2020,1160,1
2017,2621,2
2015,635,4
2014,635,2
2020,5355,5
2019,635,4
2016,5855,2
2014,5855,3
2018,3722,1
2019,3691,7
2020,3683,1
2016,1015,4
2020,1161,1
2020,3689,2
2018,1012,3
2018,1150,4
2018,4211,2
2015,10974,3
2015,3689,3
2015,17638,1
2016,17,6
2014,17,1
2018,3689,8
2019,3689,11
2012,3097,2
2013,4194,1
2016,4194,5
2017,4194,2
2012,3711,1
2012,3726,1
2015,3726,3
2016,3829,1
2012,3847,1
2019,10894,3
2014,20123,1
2015,20123,3
2016,20123,6
2018,3710,6
2014,4648,4
2016,3846,1
2017,3726,1
2020,5856,13
2019,3847,1
2013,16603,4
2017,16603,2
2018,16603,5
2016,18225,2
2015,5273,1
2013,1783,4
2019,7149,5
2020,10859,1
2018,23785,5
2013,21052,4
2018,1987,3
2019,1987,3
2015,7604,1
2017,1394,1
2013,10858,3
2017,10851,1
2018,10851,1
2019,5727,3
2013,9895,1
2014,5462,2
2019,5462,3
2020,5462,3
2013,378,2
2016,5471,4
2017,11752,3
2020,1308,4
2012,382,1
2014,382,7
2015,382,7
2016,382,6
2017,3252,1
2018,5433,1
2014,5452,11
2020,5452,3
2020,5433,3
2013,3146,1
2017,3146,2
2018,3146,4
2014,1931,6
2018,426,11
2017,6226,3
2018,6226,1
2019,11712,1
2020,861,2
2020,8067,1
2016,8082,1
2019,8273,1
2018,3109,1
2016,5433,1
2019,6228,2
2015,1243,6
2012,1245,1
2018,3136,1
2019,13136,3
2012,4285,4
2013,4285,2
2016,11345,3
2019,3757,1
2018,4285,4
2019,6057,1
2013,4077,1
2014,4077,1
2012,230,8
2020,5245,1
2016,860,3
2019,8688,1
2014,1260,3
2015,1260,2
2013,1389,1
2019,10047,1
2017,846,1
2014,8662,2
2017,8662,2
2018,860,2
2017,4502,2
2012,11322,2
2020,1564,5
2012,1568,1
2020,4223,5
2018,12361,2
2019,12382,1
2012,2903,1
2012,14412,4
2015,14412,1
2018,1569,1
2017,12374,1
2013,1565,1
2020,7072,1
2020,8964,1
2018,11170,1
2015,4034,1
2012,4034,1
2014,2084,3
2019,2084,1
2020,925,1
2020,6922,1
2018,8959,2
2019,8959,3
2017,5793,4
2019,5793,6
2013,181,2
2016,5803,1
2020,5803,1
2020,6601,2
2020,10164,5
2017,6904,1
2014,4247,3
2016,4247,3
2012,4247,1
2019,18187,1
2015,8597,2
2015,11614,1
2019,1959,5
2019,4708,2
2014,1675,2
2017,2451,1
2018,16188,1
2016,1112,4
2016,1164,3
2016,7149,5
2012,7352,2
2020,7352,1
2017,1675,1
2020,1675,2
2020,10137,2
2012,5325,1
2012,1898,1
2017,17718,1
2016,1897,1
2019,18929,7
2020,2573,3
2015,2917,1
2014,1762,1
2012,5133,2
2012,2473,1
2018,8860,1
2019,8860,1
2015,138,2
2019,1211,1
2015,1212,3
2020,21222,3
2019,21352,3
2019,21487,1
2020,2926,3
2019,2926,1
2015,3567,2
2020,299,1
2012,358,4
2012,6171,2
2012,17807,2
2015,16137,3
2015,16235,1
2020,16235,1
2019,15192,1
2020,22573,1
2020,22643,1
2018,1647,1
2014,3169,3
2014,3470,4
2019,524,2
2014,5451,3
2013,6511,1
2018,6511,4
2016,3992,1
2020,6456,2
2019,3166,1
2019,294,2
2017,10492,3
2015,3361,6
2012,10762,2
2014,10762,3
2020,20406,2
2013,1332,2
2017,3361,4
2020,20709,1
2017,2914,2
2018,1332,2
2019,6082,1
2018,417,3
2015,350,1
2016,330,2
2017,330,3
2013,1604,3
2018,1604,2
2020,4021,2
2017,6672,1
2019,4047,2
2019,4230,3
2020,8651,1
2017,42,14
2013,8933,1
2015,11790,3
2017,11790,8
2017,17540,1
2020,8933,2
2020,4230,2
2019,18722,3
2014,4186,3
2018,3820,1
2017,100,9
2016,25112,3
2020,2119,1
2019,18646,1
2016,2216,7
2019,9999,1
2015,10499,1
2018,2222,3
2020,2222,2
2016,8656,1
2020,28539,1
2013,7294,1
2013,9492,1
