article_pubyear,publisher,institution_name,n_refs
2014,Non-Elsevier,Heidelberg University,9958
2019,Non-Elsevier,Otto-von-Guericke University Magdeburg,3147
2012,Elsevier,Technical University of Munich,3092
2016,Non-Elsevier,Technical University of Munich,14504
2018,Non-Elsevier,Max Planck Institute for Biology of Ageing,270
2016,Non-Elsevier,Karlsruhe Institute of Technology,8429
2012,Non-Elsevier,Fraunhofer Institute for Technological Trend Analysis,8
2020,Non-Elsevier,Max Planck Institute of Molecular Physiology,553
2019,Non-Elsevier,Universität Hamburg,4720
2017,Elsevier,University of Freiburg,2739
2016,Non-Elsevier,University of Bonn,7466
2016,Non-Elsevier,University of Duisburg-Essen,5660
2020,Elsevier,Forschungszentrum Jülich,2438
2017,Non-Elsevier,Max Planck Institute for the Physics of Complex Systems,1282
2016,Non-Elsevier,Heidelberg University,10212
2015,Non-Elsevier,Kiel University,3939
2019,Elsevier,Technical University of Munich,5419
2019,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",1424
2016,Elsevier,University of Freiburg,2095
2017,Non-Elsevier,Technische Universität Braunschweig,2680
2020,Non-Elsevier,University Medical Center Hamburg-Eppendorf,8623
2014,Non-Elsevier,Goethe University Frankfurt,6441
2015,Non-Elsevier,Fraunhofer Institute for Interfacial Engineering and Biotechnology,215
2016,Elsevier,Charité - University Medicine Berlin,3807
2016,Non-Elsevier,Max Planck Institute for Chemistry,877
2017,Non-Elsevier,University of Erlangen-Nuremberg,9988
2012,Elsevier,Max Planck Institute for Biological Cybernetics,110
2020,Elsevier,Johannes Gutenberg University of Mainz,1987
2020,Non-Elsevier,Fraunhofer Institute for Silicate Research,157
2016,Non-Elsevier,Martin Luther University Halle-Wittenberg,3685
2016,Non-Elsevier,University of Mannheim,923
2016,Non-Elsevier,Helmholtz Centre for Infection Research,1366
2019,Non-Elsevier,Helmholtz Centre for Infection Research,1023
2016,Non-Elsevier,University of Erlangen-Nuremberg,9626
2020,Elsevier,Max Planck Institute of Molecular Cell Biology and Genetics,230
2012,Elsevier,Goethe University Frankfurt,2121
2020,Elsevier,University of Duisburg-Essen,2570
2018,Non-Elsevier,University of Bonn,6203
2020,Non-Elsevier,University of Bonn,7331
2020,Non-Elsevier,Deutsches Elektronen-Synchrotron DESY,1670
2018,Non-Elsevier,University of Bremen,3048
2012,Non-Elsevier,University of Bremen,1933
2012,Non-Elsevier,Freie Universität Berlin,5626
2017,Elsevier,University of Würzburg,1433
2020,Non-Elsevier,University of Hannover,4148
2016,Elsevier,University of Bonn,2181
2018,Non-Elsevier,Ruhr University Bochum,6827
2020,Non-Elsevier,University of Konstanz,2437
2013,Non-Elsevier,German Center for Neurodegenerative Diseases,1660
2020,Non-Elsevier,University of Greifswald,3783
2017,Non-Elsevier,University Medical Center Hamburg-Eppendorf,6070
2016,Non-Elsevier,University of Würzburg,7158
2020,Non-Elsevier,German Aerospace Center,3105
2017,Non-Elsevier,Max Planck Institute for Coal Research,1095
2017,Elsevier,Universität Hamburg,1203
2013,Non-Elsevier,Karlsruhe Institute of Technology,6987
2020,Non-Elsevier,Max Planck Institute for Terrestrial Microbiology,504
2020,Elsevier,Charité - University Medicine Berlin,5005
2016,Non-Elsevier,Max Planck Institute for Astrophysics,133
2012,Non-Elsevier,University of Hannover,2114
2012,Non-Elsevier,Charité - University Medicine Berlin,9389
2013,Non-Elsevier,Max Planck Institute for the Physics of Complex Systems,909
2013,Elsevier,University of Tübingen,2896
2014,Non-Elsevier,Kiel University,3822
2015,Non-Elsevier,University of Kaiserslautern,2073
2019,Non-Elsevier,University of Bonn,6191
2013,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",1023
2015,Non-Elsevier,Max Planck Institute for Gravitational Physics,402
2015,Non-Elsevier,Humboldt University of Berlin,5123
2012,Non-Elsevier,University of Regensburg,4327
2020,Elsevier,Ruhr University Bochum,2792
2019,Elsevier,Freie Universität Berlin,1834
2018,Non-Elsevier,Max Planck Institute of Molecular Cell Biology and Genetics,715
2012,Non-Elsevier,University of Würzburg,7321
2012,Non-Elsevier,Kiel University,4369
2015,Non-Elsevier,Max Planck Institute for Chemical Physics of Solids,610
2020,Elsevier,University of Erlangen-Nuremberg,3667
2020,Non-Elsevier,Technische Universität Braunschweig,3185
2016,Non-Elsevier,Max Planck Institute for Terrestrial Microbiology,347
2020,Elsevier,University of Bremen,1219
2017,Non-Elsevier,Max Delbrück Center for Molecular Medicine,1632
2017,Elsevier,University of Bremen,1092
2015,Non-Elsevier,University of Rostock,2705
2018,Non-Elsevier,Hochschule Mittweida,61
2016,Non-Elsevier,Julius Kühn-Institut,314
2016,Non-Elsevier,Charité - University Medicine Berlin,10611
2019,Elsevier,TU Dresden,3671
2019,Non-Elsevier,University of Münster,8032
2015,Elsevier,University of Hannover,932
2016,Elsevier,University of Konstanz,561
2013,Non-Elsevier,Hamburg University of Technology,543
2017,Non-Elsevier,University of Würzburg,6476
2015,Elsevier,German Center for Neurodegenerative Diseases,647
2018,Non-Elsevier,University of Münster,8101
2016,Non-Elsevier,University of Lübeck,2020
2013,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,1504
2020,Non-Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,2356
2020,Elsevier,Helmholtz Centre for Environmental Research,1309
2016,Non-Elsevier,University of Wuppertal,954
2018,Elsevier,Max Planck Institute for Heart and Lung Research,188
2019,Non-Elsevier,University of Rostock,2689
2013,Non-Elsevier,German Cancer Research Center,3875
2014,Non-Elsevier,University of Bonn,8240
2014,Non-Elsevier,University of Giessen,4622
2018,Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,565
2019,Non-Elsevier,University of Tübingen,8637
2014,Elsevier,Technische Universität Braunschweig,676
2014,Elsevier,Helmholtz Centre for Infection Research,329
2017,Elsevier,Hamburg University of Technology,489
2018,Non-Elsevier,University of Giessen,4673
2018,Non-Elsevier,TU Darmstadt,3151
2020,Non-Elsevier,University of Göttingen,9082
2018,Non-Elsevier,Humboldt University of Berlin,7509
2013,Non-Elsevier,Kiel University,4085
2014,Non-Elsevier,Leibniz Institute for Analytical Sciences - ISAS,352
2015,Elsevier,Philipp University of Marburg,1627
2018,Non-Elsevier,University of Greifswald,3048
2019,Non-Elsevier,University of Hannover,3056
2014,Elsevier,Johannes Gutenberg University of Mainz,1546
2013,Elsevier,Max Planck Institute for Human Cognitive and Brain Sciences,562
2018,Non-Elsevier,Max Planck Institute for Heart and Lung Research,626
2020,Non-Elsevier,Technical University of Munich,17431
2015,Elsevier,Hannover Medical School,2070
2020,Elsevier,University of Tübingen,3044
2013,Non-Elsevier,Humboldt University of Berlin,4949
2012,Non-Elsevier,University of Bonn,7032
2015,Non-Elsevier,Max Planck Institute for Biophysical Chemistry,1376
2017,Non-Elsevier,TU Dresden,9832
2013,Non-Elsevier,TU Dortmund University,2004
2013,Non-Elsevier,Universität Hamburg,4423
2015,Elsevier,Goethe University Frankfurt,1898
2015,Elsevier,Leipzig University,1981
2020,Elsevier,University of Münster,2605
2013,Non-Elsevier,Johannes Gutenberg University of Mainz,5274
2015,Non-Elsevier,Technische Universität Braunschweig,2290
2012,Elsevier,Technical University of Berlin,980
2014,Non-Elsevier,University of Freiburg,6224
2017,Non-Elsevier,GSI Helmholtz Centre for Heavy Ion Research,786
2018,Non-Elsevier,University Medical Center Hamburg-Eppendorf,6605
2017,Non-Elsevier,University of Regensburg,4606
2017,Elsevier,German Cancer Research Center,1865
2017,Elsevier,Fraunhofer Institute for Interfacial Engineering and Biotechnology,99
2017,Elsevier,Freie Universität Berlin,2083
2017,Non-Elsevier,Charité - University Medicine Berlin,10441
2013,Non-Elsevier,Robert Koch Institute,1404
2020,Elsevier,Heidelberg University,3330
2014,Non-Elsevier,University of Augsburg,817
2013,Elsevier,Max Planck Institute for Ornithology,83
2014,Non-Elsevier,University of Kassel,728
2016,Elsevier,Heidelberg University,2590
2019,Non-Elsevier,Max Planck Institute for Biophysical Chemistry,1008
2017,Non-Elsevier,Karlsruhe Institute of Technology,8171
2017,Non-Elsevier,Federal Institute For Materials Research and Testing,1186
2014,Elsevier,University of Erlangen-Nuremberg,2566
2020,Non-Elsevier,Leuphana University of Lüneburg,940
2015,Non-Elsevier,TU Dresden,8444
2014,Non-Elsevier,University of Duisburg-Essen,4935
2019,Non-Elsevier,Freie Universität Berlin,7076
2019,Elsevier,University of Trier,311
2020,Non-Elsevier,University of Münster,9789
2014,Elsevier,Federal Institute For Materials Research and Testing,316
2019,Non-Elsevier,RWTH Aachen University,9320
2013,Elsevier,Max Planck Institute for Meteorology,69
2014,Non-Elsevier,TU Dresden,8254
2014,Non-Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,1023
2012,Non-Elsevier,University of Bayreuth,2516
2015,Non-Elsevier,Max Planck Institute of Colloids and Interfaces,1313
2012,Non-Elsevier,University of Stuttgart,3189
2013,Non-Elsevier,RWTH Aachen University,7285
2012,Elsevier,Hannover Medical School,2004
2018,Non-Elsevier,Helmholtz Centre for Environmental Research,2083
2019,Non-Elsevier,TU Dortmund University,2197
2012,Non-Elsevier,Ilmenau University of Technology,454
2019,Elsevier,University Medical Center Hamburg-Eppendorf,2414
2018,Non-Elsevier,Chemnitz University of Technology,1380
2018,Non-Elsevier,Freie Universität Berlin,6983
2014,Non-Elsevier,Saarland University,3324
2012,Non-Elsevier,Martin Luther University Halle-Wittenberg,2923
2018,Non-Elsevier,Technical University of Munich,16071
2012,Non-Elsevier,Max Planck Institute for Solid State Research,1757
2020,Non-Elsevier,Helmholtz Centre for Environmental Research,2820
2016,Elsevier,University of Würzburg,1554
2013,Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,373
2012,Non-Elsevier,Heidelberg University,9487
2018,Elsevier,Johannes Gutenberg University of Mainz,1426
2018,Non-Elsevier,RWTH Aachen University,9412
2014,Non-Elsevier,University of Göttingen,6362
2013,Elsevier,Leipzig University,1951
2019,Non-Elsevier,Kiel University,5201
2016,Non-Elsevier,RWTH Aachen University,8896
2020,Non-Elsevier,TU Dresden,13060
2014,Non-Elsevier,Helmholtz Centre for Environmental Research,1602
