article_pubyear,publisher,institution_name,n_refs
2015,Non-Elsevier,Max Planck Institute for Physics,479
2019,Non-Elsevier,TU Darmstadt,3772
2020,Elsevier,GEOMAR Helmholtz Centre for Ocean Research Kiel,311
2015,Non-Elsevier,University of Konstanz,2663
2020,Non-Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,1575
2012,Elsevier,Max Planck Institute for Mathematics in the Sciences,85
2019,Non-Elsevier,German Institute for International Educational Research,97
2019,Non-Elsevier,GSI Helmholtz Centre for Heavy Ion Research,1033
2017,Non-Elsevier,Martin Luther University Halle-Wittenberg,4438
2019,Elsevier,Martin Luther University Halle-Wittenberg,1243
2019,Non-Elsevier,Helmut Schmidt University,340
2014,Elsevier,Charité - University Medicine Berlin,3596
2020,Non-Elsevier,Max Planck Institute of Experimental Medicine,396
2016,Elsevier,TU Dresden,3212
2014,Elsevier,TU Dortmund University,735
2015,Non-Elsevier,University of Hohenheim,1631
2012,Elsevier,Freie Universität Berlin,1688
2015,Non-Elsevier,University of Münster,6765
2014,Non-Elsevier,German Institute of Human Nutrition,423
2012,Elsevier,Leibniz Institute for Tropospheric Research,63
2018,Elsevier,University of Hannover,1424
2014,Non-Elsevier,Max Planck Institute for Evolutionary Anthropology,728
2016,Elsevier,Kühne Logistics University,16
2016,Elsevier,Technical University of Munich,4982
2014,Elsevier,Max Planck Institute for the Structure and Dynamics of Matter,9
2016,Elsevier,Humboldt University of Berlin,1547
2015,Non-Elsevier,Leibniz Institute of Polymer Research,762
2018,Non-Elsevier,University of Wuppertal,741
2019,Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,512
2019,Elsevier,Hamburg University of Technology,565
2016,Non-Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,1556
2020,Elsevier,TU Dortmund University,1018
2015,Elsevier,Bielefeld University,734
2015,Elsevier,Max Planck Institute for Chemical Energy Conversion,77
2016,Non-Elsevier,Fraunhofer Institute for Chemical Technology,80
2017,Non-Elsevier,Max Planck Institute for Psycholinguistics,418
2013,Elsevier,University of Stuttgart,755
2014,Non-Elsevier,Max Planck Institute for Chemical Ecology,590
2016,Elsevier,Max Planck Institute for Tax Law and Public Finance,12
2017,Elsevier,Otto-von-Guericke University Magdeburg,1182
2014,Elsevier,University of Göttingen,1773
2013,Elsevier,Saarland University,813
2016,Non-Elsevier,Max Planck Institute of Experimental Medicine,317
2020,Elsevier,Max Planck Institute for Biology of Ageing,117
2015,Elsevier,Technical University of Berlin,1426
2019,Non-Elsevier,Max Planck Institute for Chemical Physics of Solids,857
2016,Non-Elsevier,German Sport University Cologne,753
2015,Non-Elsevier,GEOMAR Helmholtz Centre for Ocean Research Kiel,988
2020,Elsevier,University of Bonn,2171
2013,Elsevier,Max Planck Institute for Biological Cybernetics,74
2018,Non-Elsevier,Pforzheim University of Applied Sciences,31
2016,Elsevier,University of Ulm,1539
2016,Elsevier,GSI Helmholtz Centre for Heavy Ion Research,214
2012,Elsevier,University of Regensburg,1258
2016,Elsevier,TU Dortmund University,846
2015,Non-Elsevier,Osnabrück University,1575
2020,Non-Elsevier,Max Planck Institute for Medical Research,414
2016,Elsevier,Ruhr University Bochum,2177
2020,Non-Elsevier,Baden-Wuerttemberg Cooperative State University,40
2012,Elsevier,Heidelberg University,2694
2019,Non-Elsevier,Max Planck Institute for Extraterrestrial Physics,432
2015,Non-Elsevier,University of Trier,450
2019,Non-Elsevier,Technische Universität Braunschweig,2681
2018,Elsevier,"University of Veterinary Medicine Hannover, Foundation",379
2012,Elsevier,University Medical Center Hamburg-Eppendorf,1692
2013,Non-Elsevier,Leibniz Institute for Tropospheric Research,275
2019,Elsevier,University of Bayreuth,844
2012,Elsevier,Forschungszentrum Jülich,1144
2018,Elsevier,University of Rostock,872
2018,Elsevier,Chemnitz University of Technology,464
2015,Non-Elsevier,Max Planck Institute for Developmental Biology,609
2019,Elsevier,TU Darmstadt,1471
2019,Non-Elsevier,University of Applied Sciences Ravensburg-Weingarten,22
2012,Non-Elsevier,Max Delbrück Center for Molecular Medicine,1508
2019,Non-Elsevier,Leibniz Institute for Farm Animal Biology,433
2012,Non-Elsevier,Max Planck Institute for Biological Cybernetics,266
2015,Elsevier,Helmholtz Zentrum München,1025
2016,Non-Elsevier,University of Giessen,4890
2020,Elsevier,Hamburg University of Technology,664
2013,Elsevier,Max Planck Institute for Molecular Genetics,264
2015,Non-Elsevier,University of Lübeck,2117
2013,Non-Elsevier,University of Bamberg,237
2018,Non-Elsevier,Max Planck Institute for Metabolism Research,123
2018,Elsevier,University of Stuttgart,1396
2015,Elsevier,University of Konstanz,571
2015,Elsevier,Martin Luther University Halle-Wittenberg,974
2012,Elsevier,TU Dortmund University,639
2013,Non-Elsevier,Museum für Naturkunde,276
2015,Non-Elsevier,University of Ulm,5029
2016,Non-Elsevier,Max Planck Institute of Molecular Plant Physiology,439
2020,Elsevier,"University of Veterinary Medicine Hannover, Foundation",506
2018,Non-Elsevier,University of Konstanz,2308
2020,Non-Elsevier,University of Kaiserslautern,2184
2018,Elsevier,University of Kassel,800
2020,Non-Elsevier,University of Passau,248
2017,Non-Elsevier,University of Augsburg,1341
2015,Elsevier,TU Darmstadt,1043
2013,Non-Elsevier,Hannover Medical School,5577
2013,Elsevier,Max Delbrück Center for Molecular Medicine,415
2020,Elsevier,Martin Luther University Halle-Wittenberg,1525
2014,Non-Elsevier,German Sport University Cologne,572
2016,Elsevier,Max Planck Institute for Iron Research,391
2015,Elsevier,Robert Koch Institute,348
2013,Non-Elsevier,Max Planck Institute for Iron Research,316
2018,Elsevier,University of Göttingen,1727
2015,Non-Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,1086
2014,Non-Elsevier,Leibniz Institute of Polymer Research,769
2013,Elsevier,Max Planck Institute of Molecular Cell Biology and Genetics,221
2016,Non-Elsevier,Max Planck Institute for Biogeochemistry,437
2018,Non-Elsevier,Fresenius University of Applied Sciences,52
2012,Elsevier,Max Planck Institute for Marine Microbiology,105
2014,Non-Elsevier,Max Planck Institute for Radio Astronomy,622
2013,Non-Elsevier,Max Planck Institute for Intelligent Systems,928
2012,Elsevier,Helmholtz Centre for Infection Research,275
2014,Elsevier,Bremen University of Applied Sciences,19
2019,Non-Elsevier,Martin Luther University Halle-Wittenberg,4471
2017,Elsevier,University of Mannheim,310
2012,Elsevier,University of Wuppertal,253
2013,Non-Elsevier,Max Planck Institute for Astrophysics,570
2012,Non-Elsevier,Max Planck Institute for Molecular Genetics,743
2012,Elsevier,Bielefeld University,656
2015,Non-Elsevier,University of Mannheim,749
2014,Non-Elsevier,Forschungszentrum Jülich,4907
2015,Elsevier,University of Giessen,1468
2017,Elsevier,University of Potsdam,1109
2019,Elsevier,GEOMAR Helmholtz Centre for Ocean Research Kiel,290
2014,Elsevier,Max Planck Institute for Coal Research,66
2017,Non-Elsevier,Max Planck Institute of Biophysics,371
2012,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,1668
2013,Elsevier,University of Wuppertal,196
2017,Elsevier,GSI Helmholtz Centre for Heavy Ion Research,182
2019,Non-Elsevier,Carl von Ossietzky University of Oldenburg,2455
2013,Non-Elsevier,University of Hannover,1950
2012,Non-Elsevier,German Center for Neurodegenerative Diseases,977
2019,Non-Elsevier,University of Wuppertal,1097
2012,Non-Elsevier,University of Lübeck,1525
2018,Non-Elsevier,TU Bergakademie Freiberg,921
2015,Non-Elsevier,Max Planck Institute for Dynamics and Self Organization,430
2014,Non-Elsevier,Leuphana University of Lüneburg,779
2012,Elsevier,Max Planck Institute for Solid State Research,132
2020,Non-Elsevier,Max Planck Institute for Evolutionary Anthropology,851
2016,Elsevier,Fraunhofer Institute for Applied Information Technology,3
2016,Elsevier,University of Siegen,186
2018,Non-Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,1469
2015,Elsevier,University of Regensburg,1031
2019,Elsevier,University of Stuttgart,1257
2015,Non-Elsevier,Fraunhofer Institute for Molecular Biology and Applied Ecology,720
2014,Non-Elsevier,Alfred Wegener Institute for Polar and Marine Research,1419
2020,Elsevier,University of Paderborn,368
2015,Non-Elsevier,Max Planck Institute for Ornithology,305
2017,Elsevier,Max Planck Institute for Psycholinguistics,141
2019,Non-Elsevier,German Aerospace Center,2199
2014,Non-Elsevier,Max Planck Institute for Intelligent Systems,1072
2019,Non-Elsevier,University of Paderborn,887
2020,Non-Elsevier,Max Planck Institute for Biological Cybernetics,280
2012,Elsevier,TU Dresden,2316
2012,Non-Elsevier,Max Planck Institute for Human Development,299
2018,Non-Elsevier,Hamburg University of Applied Sciences,136
2015,Elsevier,Bundeswehr University Munich,96
2012,Non-Elsevier,Helmholtz Centre for Environmental Research,1439
2014,Elsevier,Technical University of Berlin,1289
2019,Non-Elsevier,Max Planck Institute for Human Development,555
2020,Elsevier,University of Kaiserslautern,756
2018,Non-Elsevier,University of Trier,647
2012,Non-Elsevier,German Aerospace Center,1134
2018,Non-Elsevier,University of Augsburg,1038
2016,Non-Elsevier,Max Planck Institute for Developmental Biology,614
2012,Non-Elsevier,Max Planck Institute for Informatics,378
2013,Non-Elsevier,Max Planck Institute for Informatics,148
2017,Non-Elsevier,Max Planck Institute for Radio Astronomy,340
2017,Elsevier,University of Kassel,527
2018,Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,605
2020,Elsevier,Fraunhofer Institute for Energy Economics and Energy System Technology,63
2016,Elsevier,German Aerospace Center,793
2018,Non-Elsevier,Hochschule Geisenheim University,51
2015,Non-Elsevier,Alfred Wegener Institute for Polar and Marine Research,1279
2014,Non-Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,670
2019,Non-Elsevier,Furtwangen University,182
2015,Non-Elsevier,University of Augsburg,854
2018,Non-Elsevier,University of Rostock,2574
2020,Elsevier,Fraunhofer Institute for Wind Energy Systems,35
2017,Non-Elsevier,University of Hagen,205
2013,Non-Elsevier,Max Planck Institute for Chemistry,575
2019,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,1471
2016,Non-Elsevier,Robert Koch Institute,1209
2018,Elsevier,University of Regensburg,1055
2020,Elsevier,Leibniz Institute of Polymer Research,232
2017,Non-Elsevier,Alfred Wegener Institute for Polar and Marine Research,1555
2012,Elsevier,German Cancer Research Center,1069
2019,Non-Elsevier,University of Bayreuth,2783
2017,Non-Elsevier,Max Planck Institute for Marine Microbiology,318
2012,Elsevier,Helmholtz Zentrum München,624
2016,Non-Elsevier,Fraunhofer Institute for Solar Energy Systems,344
2012,Non-Elsevier,University of Rostock,2510
2020,Elsevier,Fulda University of Applied Sciences,38
2018,Non-Elsevier,Max Planck Institute for Marine Microbiology,516
2020,Non-Elsevier,Fraunhofer Institute for Energy Economics and Energy System Technology,87
2013,Non-Elsevier,Max Planck Institute of Psychiatry,857
2013,Elsevier,Alfred Wegener Institute for Polar and Marine Research,442
2019,Non-Elsevier,University of Lübeck,2161
2020,Non-Elsevier,Max Planck Institute for Physics,498
2020,Non-Elsevier,Hamburg University of Technology,949
2017,Elsevier,University of Lübeck,807
2013,Elsevier,Hannover Medical School,1951
2015,Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,20
2019,Non-Elsevier,Max Planck Institute for Medical Research,264
2019,Non-Elsevier,University of Siegen,975
2017,Non-Elsevier,University of Kassel,1060
2013,Non-Elsevier,Carl von Ossietzky University of Oldenburg,1517
2016,Elsevier,Universität Hamburg,1124
2020,Non-Elsevier,Hochschule Osnabrück,162
2013,Elsevier,Fraunhofer Institute for Mechanics of Materials,61
2018,Non-Elsevier,Robert Koch Institute,1226
2014,Non-Elsevier,Carl von Ossietzky University of Oldenburg,1713
2018,Elsevier,Max Planck Institute for Empirical Aesthetics,32
2015,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,1175
2014,Non-Elsevier,Max Planck Institute of Colloids and Interfaces,1318
2013,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,1067
2016,Non-Elsevier,Max Planck Institute for Informatics,186
2017,Non-Elsevier,Max Planck Institute for Biology of Ageing,206
2018,Elsevier,University of Trier,299
2014,Non-Elsevier,University of Greifswald,2493
2019,Non-Elsevier,Chemnitz University of Technology,1174
2016,Non-Elsevier,Federal Institute For Materials Research and Testing,1002
2016,Non-Elsevier,Deutsches Elektronen-Synchrotron DESY,1591
2018,Non-Elsevier,Max Planck Florida Institute for Neuroscience,93
2012,Elsevier,Otto-von-Guericke University Magdeburg,900
2018,Elsevier,Robert Koch Institute,355
2015,Non-Elsevier,Max Planck Institute for Intelligent Systems,1041
2012,Non-Elsevier,Max Planck Institute for Radio Astronomy,618
2020,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",1509
2018,Elsevier,Max Planck Florida Institute for Neuroscience,33
2018,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",1012
2020,Non-Elsevier,Chemnitz University of Technology,1709
2016,Elsevier,Freie Universität Berlin,2068
2019,Non-Elsevier,Max Planck Institute for Metabolism Research,127
2015,Elsevier,Max Planck Institute for Polymer Research,316
2017,Elsevier,Max Planck Institute for Human Cognitive and Brain Sciences,555
2017,Non-Elsevier,German Center for Neurodegenerative Diseases,1819
2020,Non-Elsevier,Max Planck Institute of Microstructure Physics,431
2020,Non-Elsevier,Institute for the German Language,16
2019,Non-Elsevier,Max Planck Institute for Biogeochemistry,586
2016,Elsevier,Osnabrück University,347
2019,Non-Elsevier,Max Planck Institute for Plasma Physics,379
2016,Non-Elsevier,Museum für Naturkunde,295
2020,Non-Elsevier,Max Planck Institute for Evolutionary Biology,434
2014,Elsevier,Ilmenau University of Technology,170
2019,Non-Elsevier,University of Hohenheim,2122
2014,Elsevier,Fraunhofer Institute for Mechanics of Materials,99
2013,Elsevier,Martin Luther University Halle-Wittenberg,838
2013,Elsevier,Leibniz Institute of Plant Biochemistry,68
2019,Elsevier,Federal Institute For Materials Research and Testing,483
2016,Non-Elsevier,Leibniz Center for Tropical Marine Ecology,245
2019,Non-Elsevier,Federal Institute For Materials Research and Testing,879
2015,Non-Elsevier,Fraunhofer Institute for Cell Therapy and Immunology,448
2020,Non-Elsevier,Max Planck Institute for Solid State Research,1372
2015,Non-Elsevier,German Rheumatism Research Centre,371
2013,Elsevier,Max Planck Institute for Biophysical Chemistry,254
2016,Elsevier,Helmut Schmidt University,153
2020,Non-Elsevier,Hochschule Aalen,112
2013,Elsevier,University of Hohenheim,678
2015,Elsevier,Julius Kühn-Institut,83
2012,Elsevier,Max Planck Institute for Human Cognitive and Brain Sciences,448
2016,Non-Elsevier,Max Planck Institute for Extraterrestrial Physics,354
2013,Non-Elsevier,University of Hohenheim,1646
2015,Non-Elsevier,Max Planck Society,995
2014,Non-Elsevier,TU Dortmund University,2007
2017,Non-Elsevier,Max Planck Institute for Heart and Lung Research,992
2016,Non-Elsevier,University of Kaiserslautern,1703
2014,Non-Elsevier,Max Planck Institute for Molecular Biomedicine,288
2014,Non-Elsevier,Ilmenau University of Technology,566
2016,Non-Elsevier,Max Planck Institute for Intelligent Systems,1369
2020,Non-Elsevier,Max Planck Institute for Gravitational Physics,671
2015,Elsevier,University of Rostock,903
2015,Non-Elsevier,Leibniz Institute for Farm Animal Biology,334
2014,Non-Elsevier,Max Planck Institute for Solar System Research,374
2019,Elsevier,TH Köln – University of Applied Sciences,129
2014,Elsevier,University of Greifswald,765
2012,Non-Elsevier,RWTH Aachen University,6983
2014,Non-Elsevier,German Center for Neurodegenerative Diseases,1690
2012,Non-Elsevier,University Medical Center Hamburg-Eppendorf,4739
2015,Non-Elsevier,Max Planck Institute for Evolutionary Biology,332
2019,Elsevier,Saarland University,1168
2017,Elsevier,Technische Universität Braunschweig,931
2020,Non-Elsevier,Max Planck Institute for Meteorology,510
2017,Elsevier,Max Planck Institute for Meteorology,69
2017,Non-Elsevier,TU Bergakademie Freiberg,725
2020,Non-Elsevier,Zittau/Görlitz University of Applied Sciences,41
2018,Non-Elsevier,Fraunhofer Institute for Cell Therapy and Immunology,268
2016,Elsevier,Max Planck Institute for Solid State Research,161
2017,Non-Elsevier,Max Planck Institute for the History of Science,22
2016,Non-Elsevier,Max Planck Institute for the History of Science,6
2018,Non-Elsevier,Max Planck Institute of Immunobiology and Epigenetics,432
2013,Non-Elsevier,University of Kassel,826
2017,Non-Elsevier,University of Hannover,2662
2016,Non-Elsevier,Fraunhofer Institute for Microengineering and Microsystems,71
2012,Non-Elsevier,Otto-von-Guericke University Magdeburg,2431
2018,Non-Elsevier,Max Planck Institute for the Structure and Dynamics of Matter,422
2014,Elsevier,Max Planck Institute of Experimental Medicine,175
2014,Elsevier,University of Lübeck,586
2019,Non-Elsevier,Max Planck Institute for Polymer Research,1647
2013,Non-Elsevier,Alfred Wegener Institute for Polar and Marine Research,1310
2019,Elsevier,Fraunhofer Institute for Cell Therapy and Immunology,77
2019,Elsevier,University of Hohenheim,1032
2012,Elsevier,Leibniz Institute for Solid State and Materials Research,308
2020,Elsevier,Max Planck Institute for Chemistry,188
2017,Elsevier,Heilbronn University,18
2014,Non-Elsevier,TU Bergakademie Freiberg,564
2016,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,1443
2018,Elsevier,Max Planck Institute of Biophysics,92
2016,Non-Elsevier,Hochschule Hannover,47
2017,Non-Elsevier,University of Lübeck,2228
2013,Non-Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,1005
2019,Non-Elsevier,Institut für Arbeitsmarkt und Berufsforschung,24
2020,Elsevier,Philipp University of Marburg,1451
2020,Elsevier,University of Würzburg,1626
2016,Elsevier,Max Planck Institute for Human Development,107
2015,Non-Elsevier,Helmholtz Centre for Infection Research,1365
2012,Non-Elsevier,Regensburg University of Applied Sciences,21
2015,Elsevier,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut",38
2013,Non-Elsevier,Martin Luther University Halle-Wittenberg,2900
2018,Elsevier,Saarland University,1243
2018,Elsevier,Fraunhofer Center for International Management and Knowledge Economy,15
2016,Elsevier,German Cancer Research Center,1531
2019,Non-Elsevier,Ilmenau University of Technology,733
2020,Non-Elsevier,Max Planck Institute for Chemistry,741
2014,Non-Elsevier,University of Rostock,2068
2016,Elsevier,Leibniz Institute for Analytical Sciences - ISAS,103
2016,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",986
2018,Non-Elsevier,Max Planck Institute for Human Cognitive and Brain Sciences,718
2018,Non-Elsevier,Max Planck Institute for Coal Research,1204
2017,Non-Elsevier,German Institute of Human Nutrition,419
2014,Non-Elsevier,Research Center Borstel - Leibniz-Center for Medicine and Biosciences,256
2012,Non-Elsevier,Max Planck Institute for Physics,815
2016,Elsevier,Leibniz Institute of Plant Biochemistry,160
2015,Non-Elsevier,Museum für Naturkunde,232
2015,Elsevier,Max Planck Institute for Psycholinguistics,188
2012,Non-Elsevier,Max Planck Institute for Chemistry,637
2014,Non-Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,382
2015,Elsevier,TU Dresden,3023
2018,Elsevier,Hamburg University of Applied Sciences,61
2019,Non-Elsevier,Max Planck Institute for Biology of Ageing,280
2016,Elsevier,Fraunhofer Institute for Microengineering and Microsystems,38
2013,Elsevier,Fraunhofer Institute for Applied Information Technology,5
2014,Elsevier,German Cancer Research Center,1441
2014,Non-Elsevier,Leibniz Institute for Baltic Sea Research,233
2018,Elsevier,German Cancer Research Center,2161
2013,Non-Elsevier,Technische Universität Braunschweig,2082
2017,Elsevier,University of Passau,54
2017,Non-Elsevier,Helmholtz Centre for Infection Research,1777
2016,Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,573
2019,Non-Elsevier,Max Planck Institute for Molecular Biomedicine,246
2014,Non-Elsevier,Max Planck Institute for Plant Breeding Research,735
2015,Elsevier,Helmholtz Centre for Environmental Research,886
2020,Non-Elsevier,Max Planck Institute for the Physics of Complex Systems,1245
2020,Elsevier,Max Planck Institute of Immunobiology and Epigenetics,131
2013,Elsevier,Ilmenau University of Technology,169
2018,Non-Elsevier,Max Planck Institute of Quantum Optics,610
2019,Elsevier,Chemnitz University of Technology,378
2015,Elsevier,Fraunhofer Institute for Industrial Mathematics,52
2018,Elsevier,Helmut Schmidt University,139
2013,Elsevier,"University of Veterinary Medicine Hannover, Foundation",449
2017,Elsevier,University of Bayreuth,914
2016,Non-Elsevier,Max Planck Institute for Empirical Aesthetics,60
2017,Elsevier,TU Dortmund University,905
2017,Elsevier,Fraunhofer Institute for Production Systems and Design Technology,36
2018,Non-Elsevier,Fraunhofer Center for International Management and Knowledge Economy,18
2018,Non-Elsevier,Fraunhofer Institute for Solar Energy Systems,300
2012,Elsevier,University of Lübeck,524
2016,Elsevier,University of Göttingen,2101
2020,Non-Elsevier,Max Planck Institute for the Science of Human History,609
2014,Non-Elsevier,Fraunhofer Institute for Process Engineering and Packaging,117
2016,Elsevier,Helmholtz Centre for Environmental Research,1281
2020,Non-Elsevier,Fraunhofer Institute for Wind Energy Systems,70
2016,Non-Elsevier,University of Trier,565
2018,Non-Elsevier,Max Planck Institute for Molecular Biomedicine,273
2014,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,1045
2013,Non-Elsevier,Max Planck Institute for Extraterrestrial Physics,702
2017,Elsevier,University of Duisburg-Essen,2097
2018,Elsevier,Max Planck Institute of Psychiatry,249
2014,Non-Elsevier,Max Planck Institute for Iron Research,507
2016,Non-Elsevier,University of Applied Sciences Würzburg-Schweinfurt,16
2013,Elsevier,University of Konstanz,581
2020,Non-Elsevier,Max Planck Institute for Astronomy,897
2017,Non-Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,38
2020,Non-Elsevier,Hamburg University of Applied Sciences,215
2014,Non-Elsevier,Max Planck Institute of Psychiatry,734
2013,Non-Elsevier,Max Planck Society,908
2013,Elsevier,Max Planck Institute for Informatics,26
2013,Elsevier,Max Planck Institute for Evolutionary Anthropology,203
2015,Non-Elsevier,Leibniz Center for Tropical Marine Ecology,318
2015,Non-Elsevier,Robert Koch Institute,1362
2014,Non-Elsevier,Fraunhofer Institute for Solar Energy Systems,428
2013,Non-Elsevier,Max Planck Institute for Psycholinguistics,348
2020,Non-Elsevier,Ilmenau University of Technology,848
2012,Elsevier,TU Darmstadt,768
2015,Elsevier,Universität Hamburg,1085
2019,Elsevier,Johannes Gutenberg University of Mainz,1274
2015,Non-Elsevier,Max Planck Institute for Molecular Genetics,567
2018,Non-Elsevier,Leibniz Research Centre for Working Environment and Human Factors,316
2020,Non-Elsevier,Max Planck Institute of Immunobiology and Epigenetics,398
2020,Non-Elsevier,Max Planck Institute for Molecular Biomedicine,185
2020,Non-Elsevier,Fraunhofer Institute for Applied Solid State Physics,71
2015,Elsevier,Max Planck Institute for Evolutionary Anthropology,390
2019,Non-Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,88
2015,Elsevier,University of Stuttgart,1039
2017,Non-Elsevier,Max Planck Institute for Plant Breeding Research,626
2013,Elsevier,University of Hannover,694
2015,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,1374
2014,Elsevier,German Center for Neurodegenerative Diseases,671
2015,Non-Elsevier,Max Planck Institute for Polymer Research,2463
2015,Elsevier,University of Würzburg,1593
2015,Non-Elsevier,Helmholtz Centre for Environmental Research,1721
2014,Non-Elsevier,Max Planck Institute for Dynamics and Self Organization,440
2019,Elsevier,Leibniz Center for Tropical Marine Ecology,116
2016,Non-Elsevier,Fraunhofer Institute for Electronic Nano Systems,116
2018,Non-Elsevier,Max Planck Institute for Empirical Aesthetics,54
2014,Elsevier,Max Planck Institute for Iron Research,372
2016,Non-Elsevier,Hamburg University of Technology,690
2014,Non-Elsevier,Max Planck Institute of Neurobiology,241
2018,Non-Elsevier,Max Planck Institute of Psychiatry,541
2015,Non-Elsevier,Max Planck Institute for Psycholinguistics,527
2016,Non-Elsevier,Fraunhofer Institute for Silicate Research,61
2013,Non-Elsevier,Ilmenau University of Technology,662
2014,Elsevier,Max Planck Institute for Chemical Ecology,138
2015,Elsevier,GSI Helmholtz Centre for Heavy Ion Research,245
2020,Elsevier,Federal Institute For Materials Research and Testing,745
2017,Non-Elsevier,Fraunhofer Institute for Applied Polymer Research,129
2015,Non-Elsevier,Max Planck Institute for Human Development,406
2015,Elsevier,TU Dortmund University,789
2020,Non-Elsevier,Fraunhofer Institute for Molecular Biology and Applied Ecology,940
2018,Non-Elsevier,Max Planck Institute for Gravitational Physics,625
2019,Non-Elsevier,Leuphana University of Lüneburg,863
2017,Elsevier,Max Planck Institute for Chemical Ecology,107
2013,Non-Elsevier,Max Planck Institute of Biophysics,247
2016,Non-Elsevier,Esslingen University of Applied Sciences,44
2020,Elsevier,Leibniz Institute for Baltic Sea Research,266
2020,Elsevier,Max Planck Institute for Evolutionary Anthropology,232
2019,Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,110
2020,Non-Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,78
2013,Non-Elsevier,Paul Ehrlich Institut,219
2012,Elsevier,University of Tübingen,2344
2014,Elsevier,Bielefeld University,692
2014,Non-Elsevier,Max Planck Institute for Polymer Research,1719
2019,Elsevier,Fraunhofer Institute for Systems and Innovation Research,143
2014,Non-Elsevier,University of Applied Sciences Biberach,17
2013,Non-Elsevier,Fraunhofer Institute for Applied Information Technology,7
2019,Non-Elsevier,Max Planck Institute of Quantum Optics,440
2019,Non-Elsevier,Max Planck Institute for Gravitational Physics,697
2017,Non-Elsevier,Max Planck Institute for Chemical Ecology,566
2012,Elsevier,Max Planck Institute for Nuclear Physics,133
2014,Non-Elsevier,Max Planck Institute for Nuclear Physics,1027
2018,Non-Elsevier,University of Kassel,1267
2020,Non-Elsevier,Fraunhofer Institute for Electronic Nano Systems,83
2012,Elsevier,University of Konstanz,566
2018,Elsevier,University of Paderborn,241
2015,Elsevier,University of Siegen,244
2018,Non-Elsevier,Max Planck Institute for Evolutionary Biology,363
2015,Non-Elsevier,University of Kassel,1076
2016,Elsevier,Leibniz Center for Tropical Marine Ecology,113
2015,Non-Elsevier,German Aerospace Center,1711
2012,Non-Elsevier,Chemnitz University of Technology,984
2019,Non-Elsevier,Max Planck Institute for Dynamics of Complex Technical Systems,331
2015,Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,240
2018,Elsevier,Museum für Naturkunde,74
2013,Non-Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,398
2013,Non-Elsevier,"Fraunhofer Institute of Optronics, System Technologies and Image Exploitation",19
2012,Elsevier,Reutlingen University,8
2012,Non-Elsevier,Max Planck Institute for Iron Research,266
2020,Non-Elsevier,Leibniz Institute of Polymer Research,885
2014,Elsevier,Goethe University Frankfurt,2117
2014,Non-Elsevier,Max Planck Institute for Marine Microbiology,528
2016,Elsevier,Fraunhofer Institute for Chemical Technology,80
2016,Non-Elsevier,Institut für Arbeitsmarkt und Berufsforschung,25
2019,Elsevier,University of Konstanz,632
2013,Elsevier,Max Planck Institute of Psychiatry,351
2018,Non-Elsevier,University of Mannheim,924
2018,Elsevier,Carl von Ossietzky University of Oldenburg,624
2014,Elsevier,Deutsches Elektronen-Synchrotron DESY,300
2017,Non-Elsevier,Leuphana University of Lüneburg,778
2014,Non-Elsevier,Robert Koch Institute,1144
2014,Elsevier,Fraunhofer Institute for Molecular Biology and Applied Ecology,203
2014,Non-Elsevier,University of Lübeck,1616
2020,Non-Elsevier,Fraunhofer Institute for Physical Measurement Techniques,94
2019,Elsevier,Max Planck Institute for Human Development,220
2018,Elsevier,Max Planck Institute for Psycholinguistics,128
2020,Elsevier,Chemnitz University of Technology,599
2019,Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,432
