article_pubyear,publisher,member,n_items
2013,Medical Communications Sp. z.o.o.,6250,1
2013,University of St. Andrews Library,6332,1
2013,Korean Academy of Medical Sciences,1898,1
2013,The Ohio State University Libraries,7412,1
2013,"Johns Hopkins School Bloomberg School of Public Health, Center for Communication Programs",4690,1
2013,Cambridge University Press (CUP),56,1
2013,MIT Press - Journals,281,1
2013,Sia Tibit,4859,1
2013,Maad Rayan Publishing Company,20123,1
2013,"Polska Akademia Nauk Instytut Paleobiologii (Institute of Paleobiology, Polish Academy of Sciences)",2718,1
2013,Korean Society of Plant Pathology,3381,1
2013,Agricultural and Food Science,10083,1
2013,UNISINOS - Universidade do Vale do Rio Dos Sinos,2428,1
2013,The Royal Society,175,1
2013,"Medicina Oral, S.L.",2883,1
2013,Centre for Evaluation in Education and Science (CEON/CEES),3964,1
2013,Bangladesh Journals Online (JOL),1861,1
2013,Czech Technical University in Prague - Central Library,5452,1
2013,Seed SRL,4176,1
2013,Association Internationale de management strategique (AIMS),24668,1
2013,Cogitatio,6951,1
2013,"Institute of Computer Science, Polish Academy of Sciences",6057,1
2013,Korean Society for Preventive Medicine,2350,1
2013,Instytut Badan Gospodarczych / Institute of Economic Research,10233,1
2013,Ovid Technologies (Wolters Kluwer Health),276,1
2014,Springer Science and Business Media LLC,297,1473
2014,Public Library of Science (PLoS),340,1312
2014,Elsevier BV,78,950
2014,Frontiers Media SA,1965,719
2014,Copernicus GmbH,3145,386
2014,IOP Publishing,266,363
2014,Hindawi Limited,98,268
2014,MDPI AG,1968,267
2014,Oxford University Press (OUP),286,134
2014,Beilstein Institut,2086,134
2014,EDP Sciences,250,130
2014,The Optical Society,285,109
2014,Informa UK Limited,301,103
2014,Wiley,311,80
2014,Walter de Gruyter GmbH,374,67
2014,International Union of Crystallography (IUCr),329,54
2014,American Society for Microbiology,235,51
2014,S. Karger AG,127,49
2014,"eLife Sciences Publications, Ltd",4374,48
2014,"Impact Journals, LLC",7892,45
2014,SAGE Publications,179,39
2014,American Physical Society (APS),16,33
2014,Association for Research in Vision and Ophthalmology (ARVO),27,21
2014,AIP Publishing,317,19
2014,F1000 Research Ltd,2560,17
2014,Medknow,2581,16
2014,Ivyspring International Publisher,4137,16
2014,Georg Thieme Verlag KG,194,16
2014,EMBO,79,14
2014,Open Publishing Association,2720,14
2014,Cold Spring Harbor Laboratory,246,13
2014,Ferrata Storti Foundation (Haematologica),1856,13
2014,FapUNIFESP (SciELO),530,13
2014,Ovid Technologies (Wolters Kluwer Health),276,12
2014,The Company of Biologists,237,12
2014,"Institute of Physics, Polish Academy of Sciences",4961,12
2014,Institute of Mathematical Statistics,108,12
2014,BMJ,239,11
2014,PeerJ,4443,11
2014,Pensoft Publishers,2258,10
2014,PAGEPress Publications,2549,9
2014,European Centre for Disease Control and Prevention (ECDC),7995,8
2014,JMIR Publications Inc.,1010,8
2014,Spandidos Publications,2249,8
2014,Czech Technical University in Prague - Central Library,5452,7
2014,"Ubiquity Press, Ltd.",3285,7
2014,Institute of Electrical and Electronics Engineers (IEEE),263,6
2014,Centers for Disease Control and Prevention (CDC),1822,5
2014,MIT Press - Journals,281,5
2014,Linkoping University Electronic Press,1959,4
2014,Cambridge University Press (CUP),56,3
2014,European Respiratory Society (ERS),81,3
2014,Bentham Science Publishers Ltd.,965,3
2014,"EMH Swiss Medical Publishers, Ltd.",3979,3
2014,SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),2516,3
2014,Shared Science Publishers OG,6394,3
2014,"Faculty of Mathematics, Computer Science and Econometrics, University of Zielona Gora",4186,3
2014,Future Science Ltd,2641,3
2014,Bioscientifica,416,3
2014,American Geophysical Union (AGU),13,2
2014,The Korean Society of Veterinary Science,2632,2
2014,GN1 Genesis Network,3948,2
2014,Norwegian Polar Institute,18712,2
2014,The Royal Society,175,2
2014,University of Economics and Human Sciences in Warsaw,3691,2
2014,VM Media SP. zo.o VM Group SK,3595,2
2014,Annals of Family Medicine,1,2
2014,International Mountain Society (IMS) and United Nations University,1235,2
2014,Vilnius Gediminas Technical University,2209,2
2014,Termedia Sp. z.o.o.,3061,2
2014,Pontificia Universidade Catolica do Parana - PUCPR,4277,2
2014,Universidad de Costa Rica,6251,2
2014,Cogitatio,6951,2
2014,Institute of Research and Community Services Diponegoro University (LPPM UNDIP),5716,2
2014,Croatian Medical Journal,1858,1
2014,University of Tartu,5007,1
2014,Center for Transportation Studies,3150,1
2014,"Smart Science and Technology, LLC",5794,1
2014,"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",4873,1
2014,Asian Australasian Association of Animal Production Societies,3683,1
2014,VSB - Technical University of Ostrava,16259,1
2014,Ediciones Universidad de Salamanca,5351,1
2014,ScienceOpen,5403,1
